vera	909_Positive
level	751_Positive
trailer	727_Positive
super	619_Positive
fans	563_Positive
sir	511_Positive
movie	498_Positive
la	460_Positive
ah	414_Positive
padam	398_Positive
i	377_Positive
marana	356_Positive
da	350_Positive
semma	348_Positive
waiting	343_Positive
ku	309_Positive
hit	294_Positive
thalaivaa	294_Positive
oru	293_Positive
thalaivar	293_Positive
neraya	292_Positive
bgm	287_Positive
love	280_Positive
likes	272_Positive
a	271_Positive
1	271_Positive
fan	260_Positive
sema	260_Positive
anna	254_Positive
thalaiva	253_Positive
star	252_Positive
ajith	251_Positive
rajini	246_Positive
iruku	235_Positive
u	235_Positive
and	222_Positive
petta	221_Positive
nu	220_Positive
dialogue	218_Positive
you	217_Positive
for	217_Positive
is	202_Positive
enna	200_Positive
intha	199_Positive
like	194_Negative
2	188_Positive
in	187_Positive
podunga	182_Positive
dhanush	182_Positive
vijay	181_Positive
than	181_Positive
views	178_Positive
thala	1734_Positive
from	167_Positive
to	166_Positive
pakka	166_Positive
but	160_Positive
na	155_Positive
mass	155_Mixed_feelings
mela	153_Positive
yuvan	153_Positive
style	152_Positive
irukku	151_Positive
here	143_Positive
vikram	143_Positive
mattum	141_Positive
illa	137_Positive
pink	137_Positive
am	135_Positive
thalapathy	133_Positive
trending	128_Positive
tha	128_Positive
viswasam	127_Positive
last	127_Positive
of	127_Positive
ya	126_Positive
pola	124_Positive
pannunga	124_Positive
nalla	123_Positive
s	123_Positive
indha	115_Positive
nee	115_Positive
0	113_Positive
best	113_Positive
va	112_Positive
pongal	110_Positive
kola	109_Positive
panna	109_Positive
no	108_Positive
tamil	106_Positive
it	106_Positive
shankar	103_Positive
rajni	102_Positive
dislike	101_Positive
all	100_Positive
m	098_Positive
the	096_Positive
asuran	096_Positive
sk	094_Positive
thalaa	094_Positive
king	094_Positive
thaan	093_Positive
remake	093_Positive
wow	093_Positive
porom	093_Positive
hero	091_Positive
pa	091_Positive
wait	091_Positive
kumar	089_Positive
comment	088_Positive
enga	088_Positive
neenga	087_Positive
asinga	085_Positive
u1	085_Positive
ithu	084_Positive
sweet	084_Positive
innum	083_Positive
vara	083_Positive
music	083_Positive
million	083_Positive
oruthar	082_Positive
namma	082_Positive
look	082_Positive
vaa	082_Positive
release	081_Positive
back	077_Positive
chiyaan	077_Positive
bigil	076_Positive
ellam	076_Positive
acting	075_Positive
en	074_Positive
romba	072_Positive
sethupathi	071_Positive
oda	071_Positive
dhan	070_Positive
10	070_Positive
superstar	070_Positive
verithanam	070_Positive
on	070_Positive
yen	069_Positive
this	069_Positive
nkp	069_Positive
1m	069_Positive
my	068_Positive
one	067_Positive
tharamana	067_Positive
so	065_Positive
always	065_Positive
time	064_Positive
daa	063_Positive
vetri	063_Positive
hai	062_not-Tamil
kaithi	061_Positive
iruntha	060_Positive
gethu	060_Positive
awesome	060_Positive
vida	059_Positive
scene	059_Positive
aa	058_Positive
mudiyathu	058_Positive
t	057_Positive
leval	057_Positive
idhu	056_Positive
irukum	056_Positive
teaser	056_Positive
mathiri	055_Positive
maari	054_Positive
karthi	054_Positive
karthik	053_Positive
varanum	052_Positive
maass	052_Positive
hindi	051_Positive
telugu	051_Positive
kerala	051_Positive
paaka	051_Positive
konjam	050_Positive
maranam	050_Positive
r	050_Positive
only	050_Positive
by	050_Positive
great	050_Positive
ultimate	050_Positive
k	049_Positive
paarvai	049_Positive
are	049_Positive
arjun	049_Positive
neraiya	049_Positive
mari	048_Positive
blockbuster	048_Positive
sambavam	048_Positive
lagi	047_not-Tamil
tunggu	047_not-Tamil
looks	047_Positive
pandey	047_Positive
vere	047_Positive
summa	047_Positive
combo	047_Positive
lama	046_not-Tamil
nerkonda	046_Positive
ipdi	046_Positive
gv	046_Positive
neriya	046_Positive
kuda	045_Positive
cinema	045_Positive
naa	045_Positive
award	045_Positive
akshay	044_Positive
film	044_Positive
paduthuringa	044_Positive
after	044_Positive
ippo	044_Positive
naraya	044_Positive
inga	043_Positive
3	043_Positive
big	043_Positive
lam	042_Positive
ena	042_Positive
h	042_Positive
man	042_Positive
varum	042_Positive
podu	042_Positive
pora	042_Positive
very	042_Positive
kena	041_not-Tamil
dai	041_Positive
hollywood	041_Positive
vjs	041_Positive
rajinikanth	041_Positive
good	040_Positive
unga	040_Positive
lvl	040_Positive
paraak	040_Positive
kitta	040_Positive
ippa	040_Positive
saya	039_not-Tamil
ana	039_Positive
matum	039_Positive
paa	039_Positive
untuk	038_not-Tamil
diwali	038_Positive
dha	038_Positive
makkal	038_Positive
next	038_Positive
first	038_Positive
4	038_Positive
veri	038_Positive
pannuga	038_Positive
iam	038_Positive
siva	037_Positive
panni	037_Positive
bro	037_Positive
selvan	037_Positive
nice	037_Positive
karnataka	037_Positive
vetrimaran	037_Positive
superb	037_Positive
paka	037_Positive
me	036_Positive
dei	036_Positive
aana	036_Positive
un	036_Positive
video	035_Positive
yaru	035_Positive
irukkum	035_Positive
thaa	035_Positive
omg	035_Positive
again	035_Positive
kaali	035_Positive
v	035_Negative
ka	034_Positive
ennada	034_Positive
ye	034_Positive
ella	034_Positive
screen	034_Positive
action	034_Positive
niraya	034_Positive
lebih	033_not-Tamil
kooda	033_Positive
sankar	033_Positive
100	033_Positive
um	033_Positive
n	033_Positive
therika	033_Positive
times	032_Positive
just	032_Positive
vayasu	032_Positive
o	032_Positive
5	032_Positive
full	032_Positive
parak	032_Positive
veriyan	032_Positive
make	032_Positive
chiyan	032_Positive
national	031_Positive
ila	031_Positive
antha	031_Positive
innoruthara	031_Positive
ponga	031_Positive
solravanga	031_Positive
rajani	031_Positive
rangaraj	031_Positive
ellarum	031_Positive
padatha	030_Positive
pathutu	030_Positive
andha	030_Positive
indian	030_Positive
get	030_Positive
days	030_Positive
adichi	030_Positive
version	030_Positive
goosebumps	030_Positive
mokka	030_Negative
tahu	029_not-Tamil
vs	029_Positive
kaga	029_Positive
ne	029_Positive
epdi	029_Positive
what	029_Positive
visvasam	029_Positive
