text	category
hoo mammokka police vesham aaha anthas	Positive
oru rekshayum illa kidilam kannu nananjupoyi	Positive
ikka waiting	Positive
raju ettante oro shorttum ijathi ppwli	Positive
ettan fansil netti poya aarenkilum undo maduraraja waiting	Positive
waiting to see mammukaas undaa	not-malayalam
last aa chadi adi uff frm an ettan fan	Positive
1 day achu 5 million views kooda varla	unknown_state
heavy mass	Positive
i a m a katta mammookka fan	unknown_state
pulimurgan 2 adyam oralde thallu pinne same kattil ottakkulla adi	Mixed_feelings
nte ponno oru raksha illa ennaa trailer	Positive
mammookka fans like adi love u ikka	Positive
dislike adikan keri like adichath njaan mathramaano	unknown_state
enada oru english comment kuda kanom	unknown_state
oh mass o mass laletta katta waiting bgm	Positive
ith powlichu vaariyitte pooku	Positive
7 3k dislike adichavanmaarod onne parayanollu omkv	Negative
malayali friends lalettan padam epdi irukku	not-malayalam
june 16 keralakara ilakki marikkum ikka	Positive
ithu verum unda alla machinegun nirachum undayulla machinegun	unknown_state
padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	Mixed_feelings
ikka de carter hit aavm maamankam ennathil oru samsyavum vndaa	Positive
vaada a otta vili athu mathi athu maathram mathi	Positive
mammooka fan kannadiga from dubai	not-malayalam
babynet oppam shane nigam venaayirunnu enna ithinakaal adipoliyaayirikum shanente fans adi like	unknown_state
mamangam uff ijjathi trailer oru rakshem illa poli	Positive
nalla polippan school life kanam katta waiting for you mammukka	Positive
trailer kande oru pidium illatha aralum	unknown_state
feeling sad am studying in punjab ivde release aakuvo	Negative
polikkum mammukkante pattalam movie orth poyath njaan maatramaano	unknown_state
tamilnadu thala fans sarpakka movie hit panna valthukal	not-malayalam
padam release cheyunne annu thanne kanumanne urapullavar like adike machanmaree	unknown_state
telugu padam pole aavaathirunnal mathiyaayirunnu fight okke ethandu athupole thanne	Mixed_feelings
thirunavayile arenkilum undo trailer like cheyan marakanda	unknown_state
ini aarum unda enna peril kaliyaakkilla oru adaar trailer	Positive
movie kandathinu shesham onum kudi trailer kanan vanaver like	unknown_state
mammoka fans and laletan fans katta waiting	unknown_state
eee eid ikka ang edutthu ennu paranjekk	Positive
ahaa hahaha ha nte ponnikka muthee	Positive
fan show set arokke fan showkk pokunnu und	unknown_state
pwoolich adhya 3 manikkoor il 30k kku mukalil views	Positive
ithin dislike addikunavar lokka tholvikallayirkkum	Positive
visit on link vov yar so sad made me crying so sad omng very sad must watch osmmosmm	not-malayalam
ini nammalarenkilum chathale sarkar sradhikku ennano ith porikkum	unknown_state
fdfs locked lalettan rajuettan uff ejathi	Positive
feel good movie 2019 le best movie aavum ithu urappu	Positive
1k dislikes ella dislike pannikalkum endhe naduviral namskaram	Negative
mohan lal katy s fans onn like chevu chet daa lal attan	unknown_state
2million one day poolumaayillaa iragitt great lalettaa	Positive
eante ponnoo romanjam vannu poeonnum parayanilla	Positive
eth oru onnonnara padam aavum enn urappullavar like adi	Positive
surajettan kunjunni mash ayi abhinayichal powlikku m	Positive
pakka trailer rajuvettan brilliance lalettante all time best character aavum luv u laletta	Positive
raaza u do	unknown_state
lucifer kandu eny ethu kananam ohh	Positive
lalettan fans full support und makkalee	Positive
keralathinu purathu ninnulla anyaphashakar adi like	unknown_state
all kerala mohanlal fans nte power onnu kanichu kodukk like	unknown_state
adhikam hype venda	Negative
ithu kidukkum	Positive
am a lalettan fan but lalettane arum pokendaa director prithviannuu	unknown_state
4 3k dislikes what a bullshit man s	not-malayalam
padam 1 st day kaanum athu urappu	Positive
mass effect	Positive
arudeyum kaneer oppan vannadhalla njn pakshe karayikunnavarude thala njn adichu pwolikkum full on full power	Positive
