text	label	category
trailer late ah parthavanga like podunga	1	Positive
move pathutu vanthu trailer pakurvnga yaru	1	Positive
puthupetai dhanush ah yarellam pathinga	1	Positive
dhanush oda character puthu sa erukay mass ta	1	Positive
vera level ippa pesungada mokka nu thalaivaa	1	Positive
thala mass u1 bgm vera level	1	Positive
0 28 90 s kids reference maadila irunthu kudicha shakthiman kaapathvaaru	1	Positive
aiyoo thala mass pannita thala	1	Positive
tharamaana sirappaana sambavam inimeal ta paaka pora	1	Positive
maran kattu kattitamnue verithanam thalivaa a	1	Positive
ella trailer la last la oru mass dialouge vaichikuringaa paa	1	Positive
eppa saamy thala padathula vera director pera pakurathu evalo periya santhosama iruku	1	Positive
kanithan mugamoodi neenga nambalainalum ithan nesam	3	Mixed_feelings
enakku iru mugan trailer gnabagam than varuthu	1	Positive
are you expecting happy deepavali force dialogue in 2 0 movie	1	Positive
1 hour 1 million likes	1	Positive
raww vana padama iruku all the best	3	Mixed_feelings
thalaiva ungala screen pakkum pothey ippadii erukinga na nerla partha yappidii erupinga oru murai tharisanam kedaikumaa	1	Positive
thala koda compare panna yarukum thakuthi kidaiyathu mind it	1	Positive
marana mass marana style marna gethu mass trailer rajinified	1	Positive
namma kitte kaadu iruntha eduthukuvanga namma kitte roopa iruntha pudukiku vaanga padippu mattum namma kitte irundhu eduthukave mudiyathu superb lines	1	Positive
ethukkuda ivlo actors hypo thalaivar padamna avar matumtha irukanum	1	Positive
thlaiavaa thalaivaa thaliava thalaivaa thalaivaa	1	Positive
100 true in the age information abundance and mass distractions	1	Positive
supper dhanush anna mass waiting asuran	1	Positive
vera lvl thalaiva u r great	1	Positive
boss you looking so handsome nd young kekaa	1	Positive
looks thrilling thala get up super as lawyer dai pandey neeya da	1	Positive
ena da nadakuthu inga epaa sathiyamaa edir pakatha trailer totally unimaginable trailer thalivar	1	Positive
1 43 thala da by thalapathy fan	1	Positive
sun picture best or vijay tv best sp best na dislike pannuga vijay tv best na like pannuga	1	Positive
last dialoge thala fans ungalukkuta iam vijay fan trailer super	1	Positive
but ore oru varutham ennana sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	3	Mixed_feelings
semma style rajini sir is back	1	Positive
my dear thala ahh semma gethu	1	Positive
movie savadi vera level poo thalaivar thalaivar thaa mass	1	Positive
super thalaiva semma mass intha movie blockbuster thaan fdfs poravanga like pannunga	1	Positive
3 minute trailor vida thil irukkaa bollywood la panranga tamila mudiyuma	3	Mixed_feelings
dai ranjit nee idha parthu film eduka kathuko	3	Mixed_feelings
trailer fast ah podu ana background la main bgm illaye fyt ku varadhinga da unmaiya tha slura	3	Mixed_feelings
superb vivek mervin pinnitinga ponga ungalukagave padam pakanum	1	Positive
viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu	1	Positive
1 36 thaa enna look u daa saami that bgm lit	1	Positive
guyzz 1m likes vara varaikum vitraadheenga	1	Positive
velraj sir thalaivana mass a kamchirukaru vera level u	1	Positive
iam vijay fan kerala and iam waiting super star s petta	1	Positive
0 52 thala looka apdiyae vechurkaru pa without audio la paata thalaikum ivrukkum vityasam teriyathu	1	Positive
dai yaaru da antha 36k apadi enna da enga thala mela ungaluku gaandu	3	Mixed_feelings
iam sk fan aanaa trailer semma	1	Positive
wow padam tharu mara iruka poguthu this pongal petta diwali	3	Mixed_feelings
sema mass marana mass tha i love rajini	1	Positive
