katta waiting	105_Positive
like adi	075_unknown_state
vere level	070_Positive
marana mass	047_Positive
fans like	041_unknown_state
adi like	036_unknown_state
oru rakshayum	035_Positive
lalettan fan	031_Positive
rakshayum illa	028_Positive
love you	027_Positive
dislike adicha	026_Negative
like here	025_not-malayalam
waiting for	025_Positive
kandavar like	023_unknown_state
vannavar like	022_unknown_state
the best	022_Positive
ikka fans	021_unknown_state
oru like	021_unknown_state
all the	021_Positive
like adikk	019_unknown_state
ivide like	019_unknown_state
i m	019_not-malayalam
madhura raja	018_unknown_state
hit like	018_not-malayalam
happy birthday	018_not-malayalam
like adikku	017_unknown_state
trailer kanan	017_unknown_state
ettan fan	017_Positive
like adii	016_unknown_state
ikka fan	016_Positive
kanan vannavar	015_unknown_state
ee trailer	014_unknown_state
love from	014_not-malayalam
lalettan fans	014_Positive
njan oru	014_Positive
like button	013_unknown_state
from karnataka	013_not-malayalam
i am	013_not-malayalam
from tamilnadu	013_not-malayalam
kola mass	013_Positive
love u	013_Positive
ente ponno	013_Positive
like adiche	012_unknown_state
oru rakshayumilla	012_Positive
fan aanu	012_Positive
trailer oru	012_Positive
dislike adikkan	012_Negative
ivde like	011_unknown_state
mohanlal sir	011_not-malayalam
fans hit	011_not-malayalam
i like	011_not-malayalam
tamil nadu	011_not-malayalam
history of	011_not-malayalam
oru raksha	011_Positive
adaar item	011_Positive
vera level	011_Positive
oru rekshayum	011_Positive
mass trailer	011_Positive
oru onnonnara	011_Positive
mohan lal	010_not-malayalam
die hard	010_not-malayalam
mass alla	010_Positive
ikka ikka	010_Positive
veendum veendum	010_Positive
onnum parayanilla	010_Positive
oru rakshem	010_Positive
kidu bgm	010_Positive
like adik	009_unknown_state
adi makkale	009_unknown_state
m from	009_not-malayalam
like like	009_not-malayalam
suraj ettan	009_Positive
oru katta	009_Positive
onnum parayan	009_Positive
ente ponnoo	009_Positive
madura raja	009_Positive
ith polikkum	009_Positive
nalla oru	009_Positive
dis like	009_Negative
5 million	008_unknown_state
mammookka fans	008_unknown_state
vannavar undo	008_unknown_state
raja raja	008_unknown_state
you laletta	008_Positive
raksha illa	008_Positive
pakka mass	008_Positive
malayala cinema	008_Positive
ikka oru	008_Positive
ee padam	008_Positive
luv u	008_Positive
super hit	008_Positive
padam hit	008_Positive
e padam	008_Positive
ikka polichu	008_Positive
ee onam	008_Positive
ikka uyir	008_Positive
superman punch	008_Positive
katta fans	007_unknown_state
kandathinu shesham	007_unknown_state
trailer kandavar	007_unknown_state
trailer kandu	007_unknown_state
like adiku	007_unknown_state
like adikkan	007_unknown_state
fans adi	007_unknown_state
waiting waiting	007_not-malayalam
i love	007_not-malayalam
k views	007_not-malayalam
k likes	007_not-malayalam
17 k	007_not-malayalam
you are	007_not-malayalam
mohanlal fans	007_not-malayalam
a king	007_not-malayalam
vattam kandu	007_Positive
onnonnara item	007_Positive
kolakolli item	007_Positive
kidilan trailer	007_Positive
katta waitingg	007_Positive
ente ponnu	007_Positive
ettan fans	007_Positive
urappullavar like	007_Positive
ithu oru	007_Positive
best wishes	007_Positive
repeat adich	007_Positive
oru mass	007_Positive
oru trailer	007_Positive
mass padam	007_Positive
katta support	007_Positive
ikka mass	007_Positive
parayan paranju	007_Positive
ith oru	007_Positive
naduviral namaskaram	007_Negative
kooduthal kandavar	006_unknown_state
padam kandu	006_unknown_state
k like	006_unknown_state
million views	006_unknown_state
oru 10	006_unknown_state
trailer kaanan	006_unknown_state
kaanan vannavar	006_unknown_state
100 cr	006_unknown_state
lucifer trailer	006_unknown_state
nokkan vannavar	006_unknown_state
ennu urappullavar	006_unknown_state
makkale like	006_unknown_state
malayalam movies	006_not-malayalam
fans from	006_not-malayalam
fan from	006_not-malayalam
of luck	006_not-malayalam
best of	006_not-malayalam
ponnu ikka	006_Positive
poli poli	006_Positive
parayan illa	006_Positive
oru ikka	006_Positive
oru adaar	006_Positive
kidu trailer	006_Positive
kidu kidu	006_Positive
kandittum kandittum	006_Positive
fdfs locked	006_Positive
fan anu	006_Positive
fan alla	006_Positive
ethu polikkum	006_Positive
athukkum mele	006_Positive
annum innum	006_Positive
adipoli trailer	006_Positive
raju ettan	006_Positive
trailer kanditt	006_Positive
raju etta	006_Positive
trailer kidukki	006_Positive
oru feel	006_Positive
katta lalettan	006_Positive
trailer vere	006_Positive
no words	006_Positive
last dialogue	006_Positive
box office	006_Positive
u ikka	006_Positive
lalettan and	006_Positive
rekshayum illa	006_Positive
oru lalettan	006_Positive
malayala cinemayude	006_Positive
bgm oru	006_Positive
rakshem illa	006_Positive
mass lalettan	006_Positive
8 nilayil	006_Negative
kollam but	006_Mixed_feelings
trailer kollam	006_Mixed_feelings
padam pole	006_Mixed_feelings
il kooduthal	005_unknown_state
ennu nokkan	005_unknown_state
button adichu	005_unknown_state
like adich	005_unknown_state
sunny chechi	005_unknown_state
ee cinema	005_unknown_state
onnu like	005_unknown_state
unni mukundan	005_unknown_state
1 01	005_unknown_state
ennullavar like	005_unknown_state
adikkan ulla	005_unknown_state
1 34	005_unknown_state
ee movie	005_unknown_state
padam kandit	005_unknown_state
what a	005_not-malayalam
am waiting	005_not-malayalam
superb trailer	005_not-malayalam
malayalam cinema	005_not-malayalam
likes in	005_not-malayalam
of the	005_not-malayalam
king is	005_not-malayalam
looks like	005_not-malayalam
verum mass	005_Positive
vere leval	005_Positive
veendum kanan	005_Positive
padam vere	005_Positive
njn oru	005_Positive
lub u	005_Positive
last aa	005_Positive
item thanne	005_Positive
ikka ningal	005_Positive
ikka love	005_Positive
feel good	005_Positive
fan aaya	005_Positive
double strong	005_Positive
bgm vere	005_Positive
an ettan	005_Positive
alla marana	005_Positive
like adichu	005_Positive
by a	005_Positive
triple strong	005_Positive
big b	005_Positive
november 21	005_Positive
a lalettan	005_Positive
super movie	005_Positive
ore oru	005_Positive
mohanlal fan	005_Positive
birthday ikka	005_Positive
waiting ikka	005_Positive
ikka marana	005_Positive
unlike adicha	005_Negative
nilayil pottum	005_Negative
ente naduviral	005_Negative
dislike adikkunna	005_Negative
adicha ella	005_Negative
dislike adikan	005_Negative
vannavar ivide	004_unknown_state
vannavar adi	004_unknown_state
thonniyavar like	004_unknown_state
ravananaya avane	004_unknown_state
raja madhura	004_unknown_state
onn like	004_unknown_state
madhuraraja teaser	004_unknown_state
lucifer lucifer	004_unknown_state
like cheyyu	004_unknown_state
like adike	004_unknown_state
hang ayo	004_unknown_state
1 35	004_unknown_state
njan mathram	004_unknown_state
kooduthal thavana	004_unknown_state
a katta	004_unknown_state
best actor	004_unknown_state
youtube hang	004_unknown_state
mathram aano	004_unknown_state
vivek oberoi	004_unknown_state
all kerala	004_unknown_state
like and	004_unknown_state
vendi varum	004_unknown_state
shesham trailer	004_unknown_state
repeat adichu	004_unknown_state
pokkiri raja	004_unknown_state
padam kanditt	004_unknown_state
kaanunnavar like	004_unknown_state
evide like	004_unknown_state
10 like	004_unknown_state
ullavar like	004_unknown_state
entho oru	004_unknown_state
love malayalam	004_not-malayalam
is the	004_not-malayalam
if you	004_not-malayalam
2 o	004_not-malayalam
of indian	004_not-malayalam
no 1	004_not-malayalam
malayalam movie	004_not-malayalam
this is	004_not-malayalam
raja trailer	004_not-malayalam
trending 1	004_not-malayalam
trailer i	004_not-malayalam
megastar mammootty	004_not-malayalam
big fan	004_not-malayalam
indian cinema	004_not-malayalam
once a	004_not-malayalam
best from	004_not-malayalam
views and	004_not-malayalam
is always	004_not-malayalam
fan of	004_not-malayalam
in malayalam	004_not-malayalam
lal sir	004_not-malayalam
waiting lalettaa	004_Positive
