text	label	category
 Trailer late ah parthavanga like podunga	1	Positive
 Move pathutu vanthu trailer pakurvnga yaru	1	Positive
 Puthupetai dhanush  ah yarellam pathinga	1	Positive
 Dhanush oda character ,puthu sa erukay , mass ta	1	Positive
 vera level ippa pesungada mokka nu thalaivaaaaaa	1	Positive
 Thala mass . U1 bgm.     Vera level	1	Positive
 ivara pathta death vadi madiri irukku	0	Negative
 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru	1	Positive
 Aiyoo thala mass pannita thala	1	Positive
 ENPT ku kaathu kadanthathellam oru nimishathula poiruchu	1	Positive
 When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN	0	Negative
 Remake of Malayalam Mohanlal movie Devadoodhan	1	Positive
 Tharamaana sirappaana sambavam inimeal ta paaka pora....	1	Positive
 Viswasam trailer paathutu Inka vanthavanga like panuga	1	Positive
 Maran  kattu kattitamnue verithanam thalivaaàa	1	Positive
 Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa	1	Positive
 Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....	1	Positive
 En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa	1	Positive
 Kanithan + mugamoodi Neenga nambalainalum ithan nesam	1	Positive
 Enakku iru mugan trailer gnabagam than varuthu	1	Positive
 ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE	1	Positive
 Sakthimaan fans like Sivakarthikeyen fans comment	1	Positive
 rajini and akshay fans hit like	1	Positive
 1 hour 1 million likes	1	Positive
 Raww vana padama iruku  all the best	1	Positive
 Thalaiva.. full Support from kerala Mohanlal Fans	1	Positive
 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae	0	Negative
 Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa	1	Positive
 Rajini ah vida akshay mass ah irukane	1	Positive
 Thala koda compare panna yarukum thakuthi kidaiyathu mind it	1	Positive
 Marana mass marana style marna gethu mass trailer rajinified	1	Positive
 Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay	1	Positive
 Diwali annante aniyan ullaltha  Step back bigil	1	Positive
 Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.	1	Positive
 Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii	1	Positive
 dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢	1	Positive
 Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....	1	Positive
 Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines	1	Positive
 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...	1	Positive
 Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...	1	Positive
 epdi like pottavan Eallarum seathupogada	1	Positive
 சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.	1	Positive
 Supper dhanush Anna mass waiting asuran	1	Positive
 Vera lvl thalaiva u r great	1	Positive
