text	category
hoo mammokka police vesham aaha anthas	Positive
oru rekshayum illa kidilam kannu nananjupoyi	Positive
ikka waiting	Positive
raju ettante oro shorttum ijathi ppwli	Positive
ettan fansil netti poya aarenkilum undo maduraraja waiting	Positive
last aa chadi adi uff frm an ettan fan	Positive
heavy mass	Positive
nte ponno oru raksha illa ennaa trailer	Positive
mammookka fans like adi love u ikka	Positive
oh mass o mass laletta katta waiting bgm	Positive
ith powlichu vaariyitte pooku	Positive
june 16 keralakara ilakki marikkum ikka	Positive
ikka de carter hit aavm maamankam ennathil oru samsyavum vndaa	Positive
vaada a otta vili athu mathi athu maathram mathi	Positive
mamangam uff ijjathi trailer oru rakshem illa poli	Positive
nalla polippan school life kanam katta waiting for you mammukka	Positive
ini aarum unda enna peril kaliyaakkilla oru adaar trailer	Positive
eee eid ikka ang edutthu ennu paranjekk	Positive
ahaa hahaha ha nte ponnikka muthee	Positive
pwoolich adhya 3 manikkoor il 30k kku mukalil views	Positive
ithin dislike addikunavar lokka tholvikallayirkkum	Positive
fdfs locked lalettan rajuettan uff ejathi	Positive
feel good movie 2019 le best movie aavum ithu urappu	Positive
2million one day poolumaayillaa iragitt great lalettaa	Positive
eante ponnoo romanjam vannu poeonnum parayanilla	Positive
eth oru onnonnara padam aavum enn urappullavar like adi	Positive
surajettan kunjunni mash ayi abhinayichal powlikku m	Positive
pakka trailer rajuvettan brilliance lalettante all time best character aavum luv u laletta	Positive
lucifer kandu eny ethu kananam ohh	Positive
lalettan fans full support und makkalee	Positive
ithu kidukkum	Positive
padam 1 st day kaanum athu urappu	Positive
mass effect	Positive
arudeyum kaneer oppan vannadhalla njn pakshe karayikunnavarude thala njn adichu pwolikkum full on full power	Positive
again again rajuvettan theertha ee vismayam kanaan vanne nokkunavarundoo	Positive
costumes irshad khan cherukunnuijj poli muthee	Positive
aa last bhakam marana mass mammookka	Positive
lalettaa muthee polichu	Positive
edhu kondu prethiraj neruthiyal kollam	Positive
mammotiyude look divasam kudunthorum kodi varikayannallo	Positive
malayala sinimakkoru puthiya charithram pirakkatte	Positive
oru mikacha thriling movie aavum	Positive
undakku shesham mammookayude adutha natural movie	Positive
jayasurya chyuna a ella characters um pwoliya shaji pappen	Positive
mammukka ningal bharikkanam malayalam cinema iniyulla kalavum	Positive
ende ammo aa mundu madakki vechulla aa chavitt laletta	Positive
trailer i ll tannaayy full story uondu	Positive
oru bigb feel aiivaa pwolichuu	Positive
pinneyum pinneyum kaanunnavar like adi lalatten ishtam	Positive
positive kittiyal pinne parayandallo ettan fan aaya njan thanme kannu thalli poi bookings kandu	Positive
annum ennum ennum ikka mass	Positive
vere level trailer and bgm gopi sunder musical	Positive
e masathew 28 enna date nalathekakan pattuvoo pattillah allew wait chaiyanmm	Positive
jelli kettinte trailer bgm pole ind	Positive
e traileril ntha chekutan undo	Positive
kalakki kalakki onnum parayan illa	Positive
oru saada nalla naatin purathe kada athre ullu aenike ishtta pettu	Positive
vere level of making nd lalettan was awesome	Positive
next week china povan irikkana njan ithu kandeche njan povathullu	Positive
ohoo mamooka powlikum ee jati tralier making kiduwee	Positive
onnum parayanilla vere leval movie ayirikkum	Positive
raju ettaa ningal vera level	Positive
ithoru onnonnara item avumenn urappullavar like adi	Positive
late aayi vannalum latest aayi varuvenne	Positive
oru marana mass chitramaavatte laleeta lucifer	Positive
adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	Positive
mohanlal prithvi fans like adik lucifer bamber hit akum	Positive
jayasurya mass after long time podi pooram	Positive
mammukka ningalau muthhaa oru rakshayilaa kikiduu	Positive
fight dialoge bgm oru rakshayum illa	Positive
