text	category	text	category
hoo mammokka police vesham aaha anthas	Positive	hoo mammokka police vesham aaha anthas	Positive
oru rekshayum illa kidilam kannu nananjupoyi	Positive	oru rekshayum illa kidilam kannu nananjupoyi	Positive
ikka waiting	Positive	ikka waiting	Positive
raju ettante oro shorttum ijathi ppwli	Positive	raju ettante oro shorttum ijathi ppwli	Positive
ettan fansil netti poya aarenkilum undo maduraraja waiting	Positive	ettan fansil netti poya aarenkilum undo maduraraja waiting	Positive
waiting to see mammukaas undaa	not-malayalam	waiting to see mammukaas undaa	not-malayalam
last aa chadi adi uff frm an ettan fan	Positive	last aa chadi adi uff frm an ettan fan	Positive
1 day achu 5 million views kooda varla	unknown_state	1 day achu 5 million views kooda varla	unknown_state
heavy mass	Positive	heavy mass	Positive
i a m a katta mammookka fan	Positive	i a m a katta mammookka fan	unknown_state
pulimurgan 2 adyam oralde thallu pinne same kattil ottakkulla adi	unknown_state	pulimurgan 2 adyam oralde thallu pinne same kattil ottakkulla adi	Mixed_feelings
nte ponno oru raksha illa ennaa trailer	Positive	nte ponno oru raksha illa ennaa trailer	Positive
mammookka fans like adi love u ikka	Positive	mammookka fans like adi love u ikka	Positive
dislike adikan keri like adichath njaan mathramaano	unknown_state	dislike adikan keri like adichath njaan mathramaano	unknown_state
enada oru english comment kuda kanom	unknown_state	enada oru english comment kuda kanom	unknown_state
oh mass o mass laletta katta waiting bgm	Positive	oh mass o mass laletta katta waiting bgm	Positive
ith powlichu vaariyitte pooku	Positive	ith powlichu vaariyitte pooku	Positive
7 3k dislike adichavanmaarod onne parayanollu omkv	Negative	7 3k dislike adichavanmaarod onne parayanollu omkv	Negative
malayali friends lalettan padam epdi irukku	Positive	malayali friends lalettan padam epdi irukku	not-malayalam
june 16 keralakara ilakki marikkum ikka	Positive	june 16 keralakara ilakki marikkum ikka	Positive
ithu verum unda alla machinegun nirachum undayulla machinegun	Positive	ithu verum unda alla machinegun nirachum undayulla machinegun	unknown_state
padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	Positive	padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	Mixed_feelings
ikka de carter hit aavm maamankam ennathil oru samsyavum vndaa	Positive	ikka de carter hit aavm maamankam ennathil oru samsyavum vndaa	Positive
vaada a otta vili athu mathi athu maathram mathi	Positive	vaada a otta vili athu mathi athu maathram mathi	Positive
mammooka fan kannadiga from dubai	not-malayalam	mammooka fan kannadiga from dubai	not-malayalam
babynet oppam shane nigam venaayirunnu enna ithinakaal adipoliyaayirikum shanente fans adi like	unknown_state	babynet oppam shane nigam venaayirunnu enna ithinakaal adipoliyaayirikum shanente fans adi like	unknown_state
mamangam uff ijjathi trailer oru rakshem illa poli	Positive	mamangam uff ijjathi trailer oru rakshem illa poli	Positive
nalla polippan school life kanam katta waiting for you mammukka	Positive	nalla polippan school life kanam katta waiting for you mammukka	Positive
