text	category	text	category
trailer late ah parthavanga like podunga	Positive	trailer late ah parthavanga like podunga	Positive
move pathutu vanthu trailer pakurvnga yaru	Positive	move pathutu vanthu trailer pakurvnga yaru	Positive
puthupetai dhanush ah yarellam pathinga	Positive	puthupetai dhanush ah yarellam pathinga	Positive
dhanush oda character puthu sa erukay mass ta	Positive	dhanush oda character puthu sa erukay mass ta	Positive
vera level ippa pesungada mokka nu thalaivaa	Positive	vera level ippa pesungada mokka nu thalaivaa	Positive
thala mass u1 bgm vera level	Positive	thala mass u1 bgm vera level	Positive
ivara pathta death vadi madiri irukku	Negative	ivara pathta death vadi madiri irukku	Negative
0 28 90 s kids reference maadila irunthu kudicha shakthiman kaapathvaaru	Positive	0 28 90 s kids reference maadila irunthu kudicha shakthiman kaapathvaaru	Positive
aiyoo thala mass pannita thala	Positive	aiyoo thala mass pannita thala	Positive
enpt ku kaathu kadanthathellam oru nimishathula poiruchu	Positive	enpt ku kaathu kadanthathellam oru nimishathula poiruchu	Mixed_feelings
when pandey gets up vandumurugan im speaking no cross speaking sitt downn	Negative	when pandey gets up vandumurugan im speaking no cross speaking sitt downn	Negative
remake of malayalam mohanlal movie devadoodhan	Positive	remake of malayalam mohanlal movie devadoodhan	Negative
tharamaana sirappaana sambavam inimeal ta paaka pora	Positive	tharamaana sirappaana sambavam inimeal ta paaka pora	Positive
viswasam trailer paathutu inka vanthavanga like panuga	Positive	viswasam trailer paathutu inka vanthavanga like panuga	unknown_state
maran kattu kattitamnue verithanam thalivaa a	Positive	maran kattu kattitamnue verithanam thalivaa a	Positive
ella trailer la last la oru mass dialouge vaichikuringaa paa	Positive	ella trailer la last la oru mass dialouge vaichikuringaa paa	Positive
eppa saamy thala padathula vera director pera pakurathu evalo periya santhosama iruku	Positive	eppa saamy thala padathula vera director pera pakurathu evalo periya santhosama iruku	Positive
en thalaivan vijaysethubathi kaga matume na padam papan matha entha p illa	Positive	en thalaivan vijaysethubathi kaga matume na padam papan matha entha p illa	Mixed_feelings
kanithan mugamoodi neenga nambalainalum ithan nesam	Positive	kanithan mugamoodi neenga nambalainalum ithan nesam	Positive
enakku iru mugan trailer gnabagam than varuthu	Positive	enakku iru mugan trailer gnabagam than varuthu	Positive
are you expecting happy deepavali force dialogue in 2 0 movie	Positive	are you expecting happy deepavali force dialogue in 2 0 movie	Positive
sakthimaan fans like sivakarthikeyen fans comment	Positive	sakthimaan fans like sivakarthikeyen fans comment	Mixed_feelings
rajini and akshay fans hit like	Positive	rajini and akshay fans hit like	Mixed_feelings
1 hour 1 million likes	Positive	1 hour 1 million likes	Positive
raww vana padama iruku all the best	Positive	raww vana padama iruku all the best	Positive
thalaiva full support from kerala mohanlal fans	Positive	thalaiva full support from kerala mohanlal fans	unknown_state
en da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae	Negative	en da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae	Negative
