text	category
trailer late ah parthavanga like podunga	Positive
move pathutu vanthu trailer pakurvnga yaru	Positive
puthupetai dhanush ah yarellam pathinga	Positive
dhanush oda character puthu sa erukay mass ta	Positive
vera level ippa pesungada mokka nu thalaivaa	Positive
thala mass u1 bgm vera level	Positive
0 28 90 s kids reference maadila irunthu kudicha shakthiman kaapathvaaru	Positive
aiyoo thala mass pannita thala	Positive
tharamaana sirappaana sambavam inimeal ta paaka pora	Positive
maran kattu kattitamnue verithanam thalivaa a	Positive
ella trailer la last la oru mass dialouge vaichikuringaa paa	Positive
eppa saamy thala padathula vera director pera pakurathu evalo periya santhosama iruku	Positive
kanithan mugamoodi neenga nambalainalum ithan nesam	Positive
enakku iru mugan trailer gnabagam than varuthu	Positive
are you expecting happy deepavali force dialogue in 2 0 movie	Positive
1 hour 1 million likes	Positive
raww vana padama iruku all the best	Positive
thalaiva ungala screen pakkum pothey ippadii erukinga na nerla partha yappidii erupinga oru murai tharisanam kedaikumaa	Positive
thala koda compare panna yarukum thakuthi kidaiyathu mind it	Positive
marana mass marana style marna gethu mass trailer rajinified	Positive
namma kitte kaadu iruntha eduthukuvanga namma kitte roopa iruntha pudukiku vaanga padippu mattum namma kitte irundhu eduthukave mudiyathu superb lines	Positive
ethukkuda ivlo actors hypo thalaivar padamna avar matumtha irukanum	Positive
thlaiavaa thalaivaa thaliava thalaivaa thalaivaa	Positive
100 true in the age information abundance and mass distractions	Positive
supper dhanush anna mass waiting asuran	Positive
vera lvl thalaiva u r great	Positive
boss you looking so handsome nd young kekaa	Positive
looks thrilling thala get up super as lawyer dai pandey neeya da	Positive
ena da nadakuthu inga epaa sathiyamaa edir pakatha trailer totally unimaginable trailer thalivar	Positive
1 43 thala da by thalapathy fan	Positive
sun picture best or vijay tv best sp best na dislike pannuga vijay tv best na like pannuga	Positive
last dialoge thala fans ungalukkuta iam vijay fan trailer super	Positive
but ore oru varutham ennana sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	Positive
semma style rajini sir is back	Positive
my dear thala ahh semma gethu	Positive
movie savadi vera level poo thalaivar thalaivar thaa mass	Positive
super thalaiva semma mass intha movie blockbuster thaan fdfs poravanga like pannunga	Positive
3 minute trailor vida thil irukkaa bollywood la panranga tamila mudiyuma	Positive
dai ranjit nee idha parthu film eduka kathuko	Positive
trailer fast ah podu ana background la main bgm illaye fyt ku varadhinga da unmaiya tha slura	Positive
superb vivek mervin pinnitinga ponga ungalukagave padam pakanum	Positive
viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu	Positive
1 36 thaa enna look u daa saami that bgm lit	Positive
guyzz 1m likes vara varaikum vitraadheenga	Positive
velraj sir thalaivana mass a kamchirukaru vera level u	Positive
iam vijay fan kerala and iam waiting super star s petta	Positive
0 52 thala looka apdiyae vechurkaru pa without audio la paata thalaikum ivrukkum vityasam teriyathu	Positive
dai yaaru da antha 36k apadi enna da enga thala mela ungaluku gaandu	Positive
iam sk fan aanaa trailer semma	Positive
wow padam tharu mara iruka poguthu this pongal petta diwali	Positive
sema mass marana mass tha i love rajini	Positive
800k likes varavareku nanu thungamatte nenaikiravage like podunge	Positive
damn im a proud chiyaan vikram fan	Positive
enna panna porom sweet sapda porom	Positive
vaa thalaiva via diwali mass ur movie bikil out	Positive
veralevel performer dhanush sir	Positive
no means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	Positive
super akshay sir i love u sir	Positive
looks like he will set screen on fire	Positive
it s pink with ajith kumar ka chutiyapa	Positive
rmba sandhosama irukku thala ipdi suspense movie la nadichadhu and rlz kaga waiting	Positive
villaina mass aa kattallayea so sad villain mass aa iruntha thaa movie mass aa irukkum	Positive
trailer vera level athana da aamai kunjugala	Positive
nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa mattum pudungavey mudiyathu chidambaram	Positive
1 20 to 2 29 marana mass	Positive
no 1 trending yellarum idha thana ketutu irundhinga	Positive
dhanush fans hit like here	Positive
like so much thala from ap pawankalyan anna fans	Positive
wow i love you thalaivaa	Positive
thala kola waiting eppo yaa release panna poringa	Positive
vaalum theivam ajith kumar manitha kadavul ajith kumar sokka thangam ajith kumar en uyirai kaakum ajith kumar ulaga uthaman ajith kumar	Positive
comment box pakka vantha like podunga	Positive
dialogues ah illama mass scenes la pesirukalaam	Positive
pongal namalukku super collection ma	Positive
thalaivaa ippa enna panna porom sweet sapda porom	Positive
yuvan bgm kola mass thalaiva marana waiting for valimai	Positive
thalaivar ku ennum vaisae agala sema	Positive
kaithi blockbuster movie bigil abhi tak hit bhi nhi huvi	Positive
ippa enna panna poram sweet sapada porom super awesome	Positive
thala u1 yuvan shankar raja mass	Positive
shakthiman fans kill the like button	Positive
vera level movie vasool nkp	Positive
sahoo 12 million nkp innu 9 million tha	Positive
thala fans saarbaaga motion poster vendum adhe	Positive
0 35 0 55 sec woww	Positive
last dialogue suit for all fans	Positive
thala fans hit like me	Positive
kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga	Positive
pink bollywood but like ajit kumar	Positive
vs anna semma epavum pola neega vera level	Positive
kk chiyan vikram in kadaram kondan best wishes	Positive
1 34 enna paarva da idhu goosebumps guaranteed	Positive
marana marana marana sirapana tharamaana padam	Positive
thala look sema mass nu soldravanga mattum oru like podunga	Positive
vanthathu vanthuteenga thala fans ellarum like potutu ponga	Positive
enada pandey news ah vittutu cinema la nadikuran	Positive
ena da bgm ithu yuvann rockss	Positive
1st like vijay fanss hit likes	Positive
trailer late ah parthu miss pannavanga ippo happy ah	Positive
nazawuddin siddiqui in pettai tharamana mudivu	Positive
super yaru nu keta chinna kulandhai um solum maestro of style	Positive
dhanush indha padathula ethana pera vetunarunu yarachum therinja solunga	Positive
vijay sethupathi fans hit like here	Positive
aiyo enaku ipave thalaya padathula pakanumnu eruku	Positive
thalaa u1 again rock	Positive
petta telugu la illea missing in tollywood	Positive
telugu thala fan s hit likes	Positive
akshay kumar as shiva kumar	Positive
maran waiting la panavendam poi saavunga ajith fans	Positive
dhanush fans sarbaga padam vetri adiya valthukal	Positive
sweet sappuda porom sweet saputtu apdiye ethavthu karama viswasam sappuduvom	Positive
pazhaya rajinikanth ah paatha feeling pa	Positive
neraya neraya neraya neraya neraya what a performance voice vera level	Positive
ithan diwali fight semme kartik story value va hero value r nu	Positive
dhanush fans oru like potutu ponga	Positive
pink but like for ajith	Positive
beginning of satyayuga end of kaliyuga	Positive
dhanush sir ku ella get up um set aagudhu	Positive
inimal sun networkla petta promo poda start panniduvaanga	Positive
neraya neraya neraya neraya neraya what a powerful voice	Positive
thala dye adikkam irukanaalathan naama nimathiya irukkamudiythu thala takkarudoi	Positive
krish movie mask mathiri erukku pa	Positive
chiyaan vikram sir vera 11	Positive
ethe maari ennamo padam pathaa maatiye eruke	Positive
thala thanta thalaiya minja evanta	Positive
2 0 late a vanthalu latest a vanthurukku	Positive
confirm 1m likes varumnu soldravange like podunge machanzz	Positive
happy new year thalaivar padam mass kata pothu	Positive
thala vera level maas u1 bgm ultimate	Positive
sam c s vera level ya un bgm	Positive
thala vera level n yuvan bgm semmee	Positive
thala endru sollada thalai nimirndhu nillada vanthudaruda en thala ippa vangada kena	Positive
thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa	Positive
romba naaluku aparam thalaivar sema massa pakurom get rajinified	Positive
enna mari veetuku theriyama ippa trailer parkuravanga yaravadhu irukeengala	Positive
elam girls um trailer ah patha maari movie ya kandipaa parungaa	Positive
viswasam teaser vartum nama side la irnthu oru sambavam panuvom	Positive
intha padatha pathe aakanum thalaivaa aa	Positive
kris s movie pola irukkunu yaarukkavadu feel aahircha	Positive
ada dei nama sambatha da dei	Positive
movie pathutan semma mass a irukku music la vera leval	Positive
marana mass thala i am waiting	Positive
intha padathula gethu mass kaatra thalaya nadikala intha padathula intha naatoda indraiya unmaiya solra ajith kumar ah nadichirkaaru stopwomenabuse	Positive
vayase aagala pa ena effort chanceless	Positive
thala yada dialogue delivery sema mass vera level goosebumps overloaded	Positive
gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuu	Positive
vaera level thala summa na podathiga mokka seenu eppa naerkonda parvai is coming soon	Positive
vayasanalum unga style azhagum innum marala thalaiva roxkzz	Positive
matha actor la vera level na nii top level thalaivaa	Positive
enna panna porom sweet sapda porom petta paraak	Positive
vena padama release pannathinga pakka mudiyala	Positive
thala bloods ellaarum oru like podunga	Positive
deepavali ku vera level padam irukku pakka kaithi deepavali	Positive
aiyo thala marana mass thala love you so much thala	Positive
thla da u1 bgm	Positive
intha padampothu thalaya asaikka kooda mudiyathu	Positive
nkp 30 million views varum solravaga thala fans hit like button 2million like	Positive
super super super super star rajini sri good	Positive
semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala	Positive
king of kollywood one only thala thala thala thala thala thala thala	Positive
thala mass but court room perusa irundhurkalam	Positive
pakkaa message pola thalaivaa we are waiting	Positive
tamil nadimarke oru puthiya velluvilliakkumoo manju chechiudea puthiya entry	Positive
nammaku tevaiyanada namma taan adichi vaanganum padipa mattum nammakitta irundu edutuka mudiyathu	Positive
ennayya namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth	Positive
last dailog inga like podunga	Positive
vera level sk bro keep going huge	Positive
oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa	Positive
last dialague semma rasikanuku advice pannitaru thala super thala	Positive
super pa thalapadhy rasigar saarba vaalthukal	Positive
thala ena thala ketta mass ah irukiyae	Positive
appo kabaliee na nerupuda eppo robot na chitti 2 o version	Positive
waiting 1m likes and 15m views	Positive
vayasu analum unga style um alagum innum ungala vitu pogala old time rajni ah pakaramariye iruku	Positive
you re line line line ithu mari neriya neriya neriya neriya padatthula irukum pola iam waiting	Positive
simion sir enga irrukinga sekiram vanga	Positive
wow 10 mill ns views	Positive
back to back super blockbuster movies first 2 0 then petta rajnikanth is just amaazing	Positive
hatters dislike pannunalum asuran movie kku award confirm by pure dhanush anna fan	Positive
dislike pannravan ratham kakkai saavan	Positive
i am waiting for nerkoonda paarvai	Positive
vijay vera vera vera vetakaran taan da venumm ajith nerya nerya nerya nerya nerya	Positive
dislike panavan oruthanuku poruthuruka maatan poogada	Positive
dei kadisiya style dance ah parunga da ayyo sema thalaiva cuteness charisma fight sequel banged comeback	Positive
thalaya screen la parka yarellam marana waiting comment pannunga thala rathangale	Positive
vada chennai jaygiromo illayo motha sanda seiyanum asuran namaku theva yanatha nambha tha adichi vanganum	Positive
entha trailer best nu pakalam like asuran cmnt kaapan	Positive
comments parka vandha padika vandha nanba nanbigal like pannitu pooga	Positive
thala thaan eppavume ennudaya role maadal	Positive
0 38 it s superstar rajini not rajni spelling mistake	Positive
remake of pink movie ah apdiye eduthurukeenga oru dialogue kooda maarama but fight scene extra va	Positive
eduthu vainga da adutha oscar ah asuran ku	Positive
mass dhanush manju vetri	Positive
thalaivaa ungaluku vayase aakathu nee mattum thaa thlaiva mass massuke boss	Positive
thala 6o ku aavathu atleast pre announcement pannunga	Positive
aptilam nadakkathu nadakka kudathu fire on eyes thala	Positive
oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa sema thala love from thalapathy fanzz	Positive
kaithi ye evlo mass ah iruku na thalapathy 64	Positive
maranam mass uh maranam tough tharanum athukku avan thaan poranthu varanum	Positive
1 55 for some thala thalapathy fans	Positive
please make thalapathy 64 like kaithi visuals	Positive
nothing to say just goosebumps thalarasigai	Positive
mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga	Positive
1 38 to 1 50 yenna swag pa thala thala pola varuma fdfs from karnataka	Positive
enada tamil cinema eduka sonna hollywood cinema eduthu vachirkinga	Positive
saavaratha irunthalum sanda pottu saaganum bayanthu kaalla vizhunthu saaga kudathu tharam	Positive
sethu anna voice thalaivar entry kolla gaandu la irukan epo varum oh nu	Positive
marana mass thalaiva ungalukku innu vayasu agale	Positive
intha padam kantippa win pannum but rajinikaga illa shankar kaga avaroda talent kaga	Positive
oru oru scenum goosebumps ahh iruku petta parak like podunga trailer pathu goosebumps anuvanga	Positive
nerkondapaarvai superb thala pesura yella dialogues kum avar kan simtave ella vera level acting	Positive
semma vera level like hits	Positive
pink movie in hindi final dialouge superr	Positive
chinna pulla thanamaala irukku graphics xd xd	Positive
rajini sir telugu fans hit a like here rajinified	Positive
o my god superstar rajinikanth navajuddin siddiki vijay setupati what else needed	Positive
marvel paruppu thanni dc uppu tamil masala kick kadugu krissh vengayam thakkali hero sambar	Positive
bayama irukku i except more but i feel sad	Positive
tamil movie 2 o king in india wonder super star an sankar s mass movie	Positive
1st day 1st show poravanga like potuttu ponga	Positive
sprb shradha srinath done a good job	Positive
rajini kanth fans hit like here	Positive
omg use head phones enna bgm da saami	Positive
enpt release agalanu kavala illa aurathanamana asuran varuthu adhu pothum	Positive
vera level thala u r rock	Positive
what a trailer ya vera level la iruku yow karthi subburaj pinnida ya awesome awesome	Positive
thalada all india thala kottai	Positive
title card bgm vara level nu soluravuga like pl	Positive
rijini sir nadichirukaru rompa nalaiku piragu sema treatuu	Positive
climax la judge kathiyeh heart attack shethuduvaaraah	Positive
mokka ah irukkum nu confirn pannittenga	Positive
12hours 5m view s 600k like s nkp	Positive
thala u1 bgm	Positive
surya thambi karthi poii karthi oda anna tha surya airuchuu	Positive
now you are lying lying lying thala mass	Positive
namaku thevayanathu nammatha adichi vaanganum mass	Positive
deepawali kala katta pothu bigil kaithi sanga thamizhan	Positive
common thala fans 1m likes varanum	Positive
yeppo million like aagum nu pakka wait pannittu irruka	Positive
that bike is a modified duke 200	Positive
last dialogue semma thala tucker doi	Positive
thala veriyans maddum oru like poddu vidunga bro	Positive
enna da views ivlo kammiya iruku romba nerama	Positive
ethir paartha alavu ila sadness	Positive
sema thala merattal movie eppo paaka poromnu romba aarvama irukku thala	Positive
ena ipa trending la varuthu thalaivar eh	Positive
national award ah askar ah dhanush fanz like	Positive
anirudh bgmm bang bang bang pettaa paaraak	Positive
inga rajini ya pathi mattum comment pannunga nan vijay sethupathika papen aniruthuka papen apdina adichu underwearoda oda vituven thalaivar forever	Positive
trailer la vidya balan missing why	Positive
i think sivakarthickku hero getup set aagala trailer is good but movie average pogumnu ninaikiravanga like pannuga	Positive
ajith sir t h a l a	Positive
arjun sir looking very smart and handsome	Positive
attention thala fans indha padam block buster aaguradhukkuu neega dhaan theater ku pooi thalai ku periya flex katout vaikanumm	Positive
i am big for illaya super star dhanush	Positive
i phone vs android nu ninaikiren	Positive
trailer la nallathan da irukku padam mokkaiya illama iruntha sari	Positive
innoru vakkil rangaraj pandey dhana avaru	Positive
thala seekirom theatre ku va thala ennala wait panna mudiyala	Positive
marana mass ungaluku vayasu aanalum andha style apadiye iruku thalaivaa	Positive
kamala kalasa en thlaivan dance mass ah	Positive
thala da i love u thala	Positive
super super super super star	Positive
mmm 100 times this video see	Positive
nanga late ahh vandhalum latest ah varuvom	Positive
waiting for judgement day nerkonda paarvai trailer marana mass thalaa	Positive
ippo yana pana poram sweet sapada poram love you thalavaa	Positive
sethupathi padam pakkum pothu irutha mass scenes niyabagam varudhu	Positive
like icon ah terika vidalama thala blood s	Positive
yow songs epo ya viduvinga bgm verra level thala_forever	Positive
thaka fans ah iru dha like poduga	Positive
thala un rasiganu solla santhsama karvama irukku	Positive
pandey and thala argument super thala nadakakuduthu	Positive
1 5m views in 60min	Positive
2020 fulla un thiruvizha tha dhaunsh anna	Positive
mana thalvair epaime gethuda sema inda pongal	Positive
indias pride shankar sir team	Positive
gud morning thala bloods enna nanba readya viswasam trailerku senja sambavatha vida sirapaa siyanum	Positive
1 million likes kondu varanum keep share thala bloods	Positive
oru channel la sona marie pana matingala daa dei	Positive
yuvan bgm	Positive
nee nadigan enpadhukaga un rasigar illa nalla manithan	Positive
oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa sema thala	Positive
intha maari movie tamil cinema la vanthathu ila 100 movie vanthurukum da	Positive
waiting thalapathy 64 lokesh kanagaraj	Positive
trending no1 thala youtube king thala	Positive
vera levelu thalaivar always i love thalaivar	Positive
romba naalaiku apuram oru rajini padam	Positive
semma mass chiyan vikram sir i am waiting	Positive
enga thala stzit parvaila avar gethana kuralila summa kalakuraru pa thala da	Positive
naa trailer ah thalaivar kaga pakka varala vj sethu anna kaga than pakka vandhurukken	Positive
trending la naanga thanada no 1	Positive
thala ku aaga dhaan padamae pola	Positive
pariyerum perumal ku award varala but next time indha movie ku kedaikanum	Positive
amaa eppa yenna panna poromm ahaa sweet sapdaa poroomm	Positive
kaidhi vera lvl trailer idhaa dewali kaidhii dhaa king	Positive
thalaivaa verithanam apdye chumma therikkavidra	Positive
the end by chiyan you kena tunggu lebih lama lagi untuk thosai rocking b h	Positive
love u thala dulquer salmaan fans kerala	Positive
0 haters in world chiyaan vikram	Positive
marana maass thalaivaa i love you sir	Positive
yenga anna yeppov super hero dhan	Positive
bro thalapathy fans kuda nalla irukku nu solranga romba happy ya irukku	Positive
thala and yuvan like ha therika vidungada pasangala bgm vera level	Positive
trailer pala thadava parthavanga mattum our like	Positive
video pakrathuku munnadiye like pannavanga mattum kai ah thookunga	Positive
801k naraya naraya naraya naraya naraya naraya	Positive
i am waiting vera level trailer i ever seen	Positive
maranam maranam maranam last bgm therikkudhu gv bro vera level	Positive
thalaivar thalaivarr	Positive
oruthara mela nenga viswasam katrathukaga inoruthara yen asinga paduthuringa sema	Positive
mass mass mass mass mass mass mass mass mass mass mass mass	Positive
0 42 bgm vera level gvp vetri maaran no words	Positive
wow nice trailer rajini kant super star	Positive
thalaivaa 7 days to go thalaivaru tharisanam	Positive
today trailer paaththu padam paakka wait panravangka like podungka	Positive
ithu peru thaan pakka mass woww goosebumbs	Positive
fully rajinism thalaivaa mass fdfs kalakata poguthu thalaivaa	Positive
paeru dhanush u national award winner dhanush u kaelvi patrukeengala verithanamaa waiting for asuran	Positive
thalaiver mass super star rajini	Positive
vetrimaran erukara varaikum dhanush ku no tension	Positive
nanba sekaram like 1m kontu vaaga	Positive
karthi padathula ithu oru nalla padam	Positive
t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a t a a	Positive
chiyaan vikram sir i like u r costume i like u r moment	Positive
inum 1m likes kuda varala	Positive
srk fan plz dislike tha video	Positive
1 18 yaarlam teejay ah patheenga	Positive
valimai kku wait panravanga thatra likes ah	Positive
marana mass thala end fight vera level look semma mass ah eruku	Positive
movie la night shots neraya iruku	Positive
yaar ellaam thala ah theater la paarka marana waiting la irukinga oru like podunga	Positive
rajini sir telugu fans like	Positive
last dialogue is a hint to his fans thala mela visvasam kaatrathuku thalapathy ya asinga padutha koodathu	Positive
trending in sri lanka i am very happy hit like	Positive
no means no thala dialouge delivery super	Positive
yarellam morning wake up aanathum trailer paakka vanthinga	Positive
our sirappaana taramaana movie book panna poram	Positive
semmaa performance thala mr ajith sir good	Positive
pongal ke confirm sweet sapada porum	Positive
indha pongaluku release ana adutha pongal vara odanumndravanga like podunga	Positive
thala thala thala thala thala thala thala thala thala thala thala thala	Positive
ajith solra last line idha yavadhu pathu thirundunga da dai	Positive
t h a l a	Positive
super star na marana mass thaan	Positive
thala awwsm n u1 bgm rocks	Positive
indha padam pengalukanadhu nalla samooga seerkeduku edhirana padam ner konda parvai wow awesome thala	Positive
highly excited waiting for karthi sam cs bgm	Positive
class massu pattayakelapum makkal selvan semma trailer vjs dialogue massu ultimate geththu pa namba m kkal selvan	Positive
yosikkama bhagubali movie da comber pannalam vera level la irukum paru	Positive
pattaya kilaputhupaa trailer get rajnified	Positive
thala irukum pothu ethuvum nadakathu thala kaakum pothu erumbum thudikathu thala tucker doi	Positive
jithu kaali singaar singh veri aatam jan 10 mark the date king arrives	Positive
