like	492_unknown_state
oru	400_Positive
trailer	308_Positive
ikka	276_Positive
mass	251_Positive
katta	176_Positive
lalettan	173_Positive
waiting	168_Positive
dislike	164_Negative
padam	148_Positive
fans	130_unknown_state
adi	130_unknown_state
fan	109_Positive
ee	100_Positive
vere	099_Positive
level	096_Positive
item	089_Positive
kidu	086_Positive
from	085_not-malayalam
ettan	085_Positive
movie	079_Positive
illa	079_Positive
super	077_Positive
njan	073_Positive
ithu	072_Positive
ente	072_Positive
i	071_not-malayalam
raja	069_unknown_state
views	069_unknown_state
bgm	068_Positive
mammookka	063_Positive
ith	063_Positive
vannavar	062_unknown_state
aanu	062_Positive
laletta	062_Positive
kandu	061_Positive
marana	059_Positive
love	057_Positive
polichu	057_Positive
lucifer	056_Positive
uff	055_Positive
poli	054_Positive
aa	051_Positive
ennu	049_unknown_state
pwoli	049_Positive
cinema	048_Positive
best	048_Positive
alla	048_Positive
1	047_unknown_state
a	047_not-malayalam
hit	047_Positive
and	046_not-malayalam
for	046_not-malayalam
ikkaa	046_Positive
nalla	045_Positive
is	043_not-malayalam
thanne	043_Positive
onnum	043_Positive
kanan	042_unknown_state
u	042_Positive
kandavar	041_unknown_state
the	041_Positive
polikkum	040_Positive
ivide	039_unknown_state
tamil	039_not-malayalam
pole	039_Positive
makkale	039_Positive
film	039_Positive
mammukka	039_Positive
of	038_not-malayalam
mohanlal	038_not-malayalam
you	038_Positive
likes	037_unknown_state
undo	037_unknown_state
il	036_unknown_state
malayalam	035_not-malayalam
in	035_not-malayalam
sir	035_not-malayalam
all	035_Positive
rakshayum	035_Positive
enn	034_Positive
adicha	034_Negative
here	033_not-malayalam
but	033_Positive
enna	033_Positive
lalettaa	032_Positive
veendum	031_Positive
k	030_not-malayalam
to	030_not-malayalam
mamangam	030_Positive
ini	030_Positive
anu	030_Positive
happy	028_not-malayalam
e	028_Positive
last	028_Positive
m	027_not-malayalam
vannu	027_Positive
nte	027_Positive
look	027_Positive
adipoli	027_Positive
parayan	027_Positive
tamilnadu	026_not-malayalam
ella	026_Positive
romanjam	026_Positive
adichu	025_unknown_state
madhura	025_unknown_state
mathram	025_Positive
kaanan	024_unknown_state
comment	024_unknown_state
feel	024_Positive
mammokka	024_Positive
fdfs	024_Positive
ethu	024_Positive
ponno	024_Positive
2	023_unknown_state
aayi	023_unknown_state
million	023_unknown_state
ivde	023_unknown_state
njn	023_Positive
ningal	023_Positive
malayala	023_Positive
heavy	023_Positive
prithviraj	022_unknown_state
adikk	022_unknown_state
king	022_not-malayalam
mammooka	022_Positive
koodi	022_Positive
pwolikkum	022_Positive
onnu	021_unknown_state
ethra	021_unknown_state
kand	021_unknown_state
5	021_unknown_state
kola	021_Positive
support	020_Positive
full	020_Positive
raju	020_Positive
adaar	020_Positive
wait	019_unknown_state
kooduthal	019_unknown_state
aano	019_unknown_state
ulla	019_Positive
100	019_Positive
pakka	019_Positive
powli	019_Positive
etta	019_Positive
naduviral	019_Negative
kollam	019_Mixed_feelings
adikku	018_unknown_state
tovino	018_unknown_state
und	018_unknown_state
shesham	018_unknown_state
vendi	018_unknown_state
odiyan	018_unknown_state
10	018_unknown_state
varum	018_unknown_state
evide	018_unknown_state
karnataka	018_not-malayalam
birthday	018_not-malayalam
l	018_Positive
strong	018_Positive
teaser	018_Positive
ishtam	018_Positive
poyi	018_Negative
youtube	017_unknown_state
nokkan	017_unknown_state
pakshe	017_Positive
no	017_Positive
annu	017_Positive
lalettante	017_Positive
mammookkaa	017_Positive
athu	017_Positive
vaka	017_Positive
aakum	017_Positive
suraj	017_Positive
ennum	017_Positive
enta	017_Positive
kandittum	017_Positive
unlike	017_Negative
orma	016_unknown_state
ano	016_unknown_state
hang	016_unknown_state
adii	016_unknown_state
s	016_not-malayalam
megastar	016_not-malayalam
lal	016_not-malayalam
am	016_not-malayalam
ponnu	016_Positive
by	016_Positive
thavana	016_Positive
aan	016_Positive
rajuvettan	016_Positive
uyir	016_Positive
kidilan	016_Positive
pwolichu	016_Positive
dislikes	016_Negative
alle	015_unknown_state
0	015_unknown_state
cr	015_unknown_state
trending	015_not-malayalam
are	015_not-malayalam
ponnoo	015_Positive
mammootty	015_Positive
nammude	015_Positive
nammal	015_Positive
mone	015_Positive
pinne	015_Positive
mamooka	015_Positive
punch	015_Positive
polikum	015_Positive
kidukki	015_Positive
kalakki	015_Positive
ikkayude	015_Positive
raksha	015_Positive
polichuu	015_Positive
maranamass	015_Positive
ingal	015_Positive
adikkan	015_Negative
pottum	015_Negative
pulimurugan	015_Mixed_feelings
sunny	014_unknown_state
nu	014_unknown_state
arokke	014_unknown_state
kandit	014_unknown_state
adiche	014_unknown_state
button	014_unknown_state
history	014_not-malayalam
polich	014_Positive
on	014_Positive
superb	014_Positive
dialogue	014_Positive
repeat	014_Positive
paranju	014_Positive
ejjathi	014_Positive
onam	014_Positive
okke	013_unknown_state
kanditt	013_unknown_state
ullu	013_unknown_state
unni	013_unknown_state
ne	013_unknown_state
view	013_unknown_state
vanna	013_unknown_state
my	013_not-malayalam
one	013_not-malayalam
mohan	013_not-malayalam
adich	013_Positive
scene	013_Positive
verum	013_Positive
kanda	013_Positive
rajuettan	013_Positive
mathi	013_Positive
pooram	013_Positive
fansinte	013_Positive
illaa	013_Positive
prithvi	013_Positive
onnonnara	013_Positive
kure	013_Negative
3	012_unknown_state
enne	012_unknown_state
video	012_unknown_state
aarokke	012_unknown_state
ullavar	012_unknown_state
this	012_not-malayalam
any	012_not-malayalam
after	012_not-malayalam
waitingg	012_Positive
rakshayumilla	012_Positive
powlichu	012_Positive
hvy	012_Positive
kond	012_Positive
fight	012_Positive
vera	012_Positive
poi	012_Positive
ijjathi	012_Positive
aayirikkum	012_Positive
urappullavar	011_unknown_state
time	011_unknown_state
madhuraraja	011_unknown_state
ippo	011_unknown_state
release	011_unknown_state
adik	011_unknown_state
power	011_unknown_state
cheyyu	011_unknown_state
good	011_not-malayalam
it	011_not-malayalam
nadu	011_not-malayalam
pls	011_not-malayalam
hard	011_not-malayalam
bahubali	011_not-malayalam
annum	011_Positive
big	011_Positive
first	011_Positive
appo	011_Positive
21	011_Positive
gopi	011_Positive
age	011_Positive
ellarum	011_Positive
parayanilla	011_Positive
rajuvetta	011_Positive
ingalu	011_Positive
rekshayum	011_Positive
oola	011_Negative
day	010_unknown_state
role	010_unknown_state
pani	010_unknown_state
subscribe	010_unknown_state
channel	010_unknown_state
bilal	010_unknown_state
kerala	010_not-malayalam
4	010_not-malayalam
mega	010_not-malayalam
die	010_not-malayalam
always	010_not-malayalam
hindi	010_not-malayalam
pwolich	010_Positive
angu	010_Positive
enik	010_Positive
um	010_Positive
koode	010_Positive
maathram	010_Positive
an	010_Positive
indian	010_Positive
da	010_Positive
valiya	010_Positive
eth	010_Positive
ore	010_Positive
madura	010_Positive
luv	010_Positive
triple	010_Positive
eni	010_Positive
direction	010_Positive
making	010_Positive
romam	010_Positive
aah	010_Positive
kidilam	010_Positive
rakshem	010_Positive
nilayil	010_Negative
kuru	010_Negative
unda	010_Negative
peru	009_unknown_state
vare	009_unknown_state
30	009_unknown_state
onn	009_unknown_state
undoo	009_unknown_state
mattum	009_not-malayalam
we	009_not-malayalam
me	009_not-malayalam
romanjification	009_Positive
mele	009_Positive
maass	009_Positive
kolakolli	009_Positive
kandittu	009_Positive
star	009_Positive
man	009_Positive
ellam	009_Positive
12	009_Positive
aanenn	009_Positive
stephen	009_Positive
loading	009_Positive
ettante	009_Positive
venda	009_Positive
akum	009_Positive
ninnu	009_Positive
anna	009_Positive
innum	009_Positive
box	009_Positive
fana	009_Positive
ettaa	009_Positive
superman	009_Positive
cinemayude	009_Positive
swantham	009_Positive
aaya	009_Positive
polum	009_Negative
kore	009_Negative
dis	009_Negative
kali	008_unknown_state
show	008_unknown_state
ayi	008_unknown_state
police	008_unknown_state
come	008_unknown_state
viewers	008_unknown_state
angane	008_unknown_state
avan	008_unknown_state
vivek	008_unknown_state
adiku	008_unknown_state
school	008_unknown_state
kgf	008_not-malayalam
telugu	008_not-malayalam
just	008_not-malayalam
17	008_not-malayalam
ka	008_not-malayalam
again	008_not-malayalam
o	008_not-malayalam
movies	008_not-malayalam
thakarthu	008_Positive
pwolii	008_Positive
kidukkum	008_Positive
ithoru	008_Positive
2019	008_Positive
blockbuster	008_Positive
r	008_Positive
wishes	008_Positive
kodi	008_Positive
kondu	008_Positive
abraham	008_Positive
kandappo	008_Positive
ingane	008_Positive
romancham	008_Positive
aavum	008_Positive
maha	008_Positive
entha	008_Positive
double	008_Positive
cinima	008_Positive
oh	008_Positive
team	008_Positive
vattam	008_Positive
b	008_Positive
paranja	008_Positive
100cr	008_Positive
mammoka	008_Positive
paranjal	008_Positive
de	008_Positive
kolamass	008_Positive
jayasurya	008_Positive
namaskaram	008_Negative
copy	008_Negative
haters	008_Negative
kandam	008_Negative
thonniyavar	007_unknown_state
kandathinu	007_unknown_state
yude	007_unknown_state
a10	007_unknown_state
8	007_unknown_state
17k	007_unknown_state
onnil	007_unknown_state
ithil	007_unknown_state
model	007_unknown_state
please	007_unknown_state
traileril	007_unknown_state
6	007_unknown_state
aya	007_unknown_state
34	007_unknown_state
kadha	007_unknown_state
pazhaya	007_unknown_state
kuduthal	007_unknown_state
kanunnavar	007_unknown_state
ennullavar	007_unknown_state
ayo	007_unknown_state
dileep	007_unknown_state
mathramano	007_unknown_state
kku	007_unknown_state
01	007_unknown_state
song	007_unknown_state
nokan	007_unknown_state
avane	007_unknown_state
undel	007_unknown_state
kannada	007_not-malayalam
t	007_not-malayalam
luck	007_not-malayalam
what	007_not-malayalam
d	007_not-malayalam
iam	007_not-malayalam
y	007_not-malayalam
once	007_not-malayalam
suriya	007_not-malayalam
uu	007_Positive
ningale	007_Positive
locked	007_Positive
kude	007_Positive
ishttam	007_Positive
ennaa	007_Positive
athukkum	007_Positive
chechi	007_Positive
nammade	007_Positive
mamookka	007_Positive
minutes	007_Positive
great	007_Positive
ennalum	007_Positive
vineeth	007_Positive
sound	007_Positive
soubin	007_Positive
68	007_Positive
ann	007_Positive
comedy	007_Positive
n	007_Positive
kalki	007_Positive
pillerum	007_Positive
sambavam	007_Positive
ath	007_Positive
daa	007_Positive
hollywood	007_Positive
combo	007_Positive
kananam	007_Positive
words	007_Positive
sure	007_Positive
entertainer	007_Positive
family	007_Positive
theatre	007_Positive
thakarkkum	007_Positive
otta	007_Positive
jayettan	007_Positive
rajayum	007_Positive
pwolikum	007_Positive
kashtam	007_Negative
manju	007_Negative
munne	007_Negative
cheyyan	007_Negative
\r	006_unknown_state
engane	006_unknown_state
trailor	006_unknown_state
actor	006_unknown_state
nee	006_unknown_state
kannan	006_unknown_state
thala	006_unknown_state
kaanaan	006_unknown_state
filim	006_unknown_state
idi	006_unknown_state
piller	006_unknown_state
50	006_unknown_state
yil	006_unknown_state
njaan	006_unknown_state
ille	006_unknown_state
nadan	006_unknown_state
japan	006_unknown_state
1st	006_unknown_state
valla	006_unknown_state
villain	006_unknown_state
guest	006_unknown_state
plz	006_unknown_state
avatharam	006_unknown_state
cheyyunnavar	006_unknown_state
wow	006_not-malayalam
next	006_not-malayalam
as	006_not-malayalam
only	006_not-malayalam
vijay	006_not-malayalam
dub	006_not-malayalam
back	006_not-malayalam
watch	006_not-malayalam
or	006_not-malayalam
if	006_not-malayalam
looks	006_not-malayalam
days	006_not-malayalam
h	006_not-malayalam
pwli	006_Positive
ponnikka	006_Positive
nerunnu	006_Positive
muthee	006_Positive
mikacha	006_Positive
lub	006_Positive
leval	006_Positive
lalettanum	006_Positive
lalettanu	006_Positive
june	006_Positive
giri	006_Positive
ammo	006_Positive
laletan	006_Positive
aarum	006_Positive
inte	006_Positive
mani	006_Positive
so	006_Positive
undu	006_Positive
undallo	006_Positive
ekka	006_Positive
kande	006_Positive
jai	006_Positive
mollywood	006_Positive
pattu	006_Positive
nice	006_Positive
arum	006_Positive
record	006_Positive
lalettane	006_Positive
with	006_Positive
goosebumps	006_Positive
voice	006_Positive
muthe	006_Positive
club	006_Positive
entry	006_Positive
28	006_Positive
pinnem	006_Positive
aane	006_Positive
crore	006_Positive
much	006_Positive
nigal	006_Positive
dileepettan	006_Positive
screen	006_Positive
aakatte	006_Positive
action	006_Positive
ohh	006_Positive
kandath	006_Positive
urappa	006_Positive
14	006_Positive
class	006_Positive
office	006_Positive
mode	006_Positive
maas	006_Positive
devil	006_Positive
vayya	006_Positive
range	006_Positive
magic	006_Positive
avum	006_Positive
potti	006_Negative
oombiya	006_Negative
adikkunna	006_Negative
pora	006_Negative
aayirunnu	006_Negative
enthu	006_Negative
adikan	006_Negative
adichavar	006_Negative
mamooty	006_Negative
athinu	006_Negative
kurachu	006_Mixed_feelings
same	006_Mixed_feelings
murali	006_Mixed_feelings
padicha	005_unknown_state
nanmayum	005_unknown_state
freezer	005_unknown_state
adike	005_unknown_state
idh	005_unknown_state
november	005_unknown_state
enikk	005_unknown_state
set	005_unknown_state
character	005_unknown_state
etra	005_unknown_state
00	005_unknown_state
veedum	005_unknown_state
20	005_unknown_state
ellavarum	005_unknown_state
keri	005_unknown_state
innu	005_unknown_state
link	005_unknown_state
1m	005_unknown_state
evde	005_unknown_state
mukundan	005_unknown_state
muvattupuzha	005_unknown_state
vannath	005_unknown_state
vanavar	005_unknown_state
nale	005_unknown_state
aarelum	005_unknown_state
odi	005_unknown_state
kk	005_unknown_state
kaanunnavar	005_unknown_state
people	005_not-malayalam
la	005_not-malayalam
kya	005_not-malayalam
hu	005_not-malayalam
hai	005_not-malayalam
ho	005_not-malayalam
god	005_not-malayalam
hours	005_not-malayalam
mammooty	005_not-malayalam
new	005_not-malayalam
100k	005_not-malayalam
still	005_not-malayalam
see	005_not-malayalam
ever	005_not-malayalam
boss	005_not-malayalam
also	005_not-malayalam
vishu	005_Positive
tovinoo	005_Positive
surajettan	005_Positive
supportum	005_Positive
polii	005_Positive
pattiya	005_Positive
parayunnu	005_Positive
muthaanu	005_Positive
mas	005_Positive
malayalikalude	005_Positive
ithanu	005_Positive
eduthu	005_Positive
chunk	005_Positive
avatte	005_Positive
ang	005_Positive
amboo	005_Positive
adipwoli	005_Positive
oke	005_Positive
padavum	005_Positive
ithokke	005_Positive
story	005_Positive
chettan	005_Positive
adutha	005_Positive
16	005_Positive
illatha	005_Positive
sukumaran	005_Positive
be	005_Positive
puthiya	005_Positive
ippol	005_Positive
ile	005_Positive
ellaa	005_Positive
pokum	005_Positive
prayam	005_Positive
ikkade	005_Positive
acting	005_Positive
ki	005_Positive
more	005_Positive
thane	005_Positive
le	005_Positive
vegam	005_Positive
njangal	005_Positive
muthal	005_Positive
hero	005_Positive
ah	005_Positive
theater	005_Positive
ikkante	005_Positive
scenes	005_Positive
pola	005_Positive
ollu	005_Positive
ind	005_Positive
woww	005_Positive
kidukachi	005_Positive
parayaan	005_Positive
apo	005_Positive
sambhavam	005_Positive
touch	005_Positive
vijayam	005_Positive
mammukkaa	005_Positive
kanum	005_Positive
kanaan	005_Positive
entammoo	005_Positive
lallettan	005_Positive
chumma	005_Positive
pilleru	005_Positive
nayakan	005_Positive
ettavum	005_Positive
tanne	005_Positive
kando	005_Positive
variety	005_Positive
nta	005_Positive
pokunna	005_Positive
ende	005_Positive
pwlichu	005_Positive
awesome	005_Positive
aavatte	005_Positive
poda	005_Negative
ennam	005_Negative
kanji	005_Negative
ninte	005_Negative
enth	005_Negative
patti	005_Negative
thonunnu	005_Negative
chila	005_Negative
thalli	005_Negative
vazhi	005_Negative
1k	005_Negative
doubt	005_Mixed_feelings
music	005_Mixed_feelings
ennoru	005_Mixed_feelings
thonnunnu	005_Mixed_feelings
varunnu	005_Mixed_feelings
athra	005_Mixed_feelings
vannavarundo	004_unknown_state
undengil	004_unknown_state
thinmayum	004_unknown_state
stuck	004_unknown_state
siddique	004_unknown_state
ravile	004_unknown_state
ravananaya	004_unknown_state
promo	004_unknown_state
nokku	004_unknown_state
ndo	004_unknown_state
kudi	004_unknown_state
ivan	004_unknown_state
helen	004_unknown_state
arenkilum	004_unknown_state
300	004_unknown_state
our	004_unknown_state
7	004_unknown_state
charithram	004_unknown_state
venam	004_unknown_state
matram	004_unknown_state
enikku	004_unknown_state
9	004_unknown_state
entho	004_unknown_state
roll	004_unknown_state
trailerinu	004_unknown_state
kandappol	004_unknown_state
200	004_unknown_state
thrissur	004_unknown_state
ayirikkum	004_unknown_state
rajayude	004_unknown_state
vech	004_unknown_state
karyam	004_unknown_state
paranj	004_unknown_state
climax	004_unknown_state
poster	004_unknown_state
english	004_unknown_state
ittimani	004_unknown_state
35	004_unknown_state
karanam	004_unknown_state
oberoi	004_unknown_state
john	004_unknown_state
15	004_unknown_state
ketto	004_unknown_state
kodukk	004_unknown_state
samayam	004_unknown_state
per	004_unknown_state
pokkiri	004_unknown_state
padathil	004_unknown_state
share	004_unknown_state
second	004_unknown_state
thonnunavar	004_unknown_state
pokan	004_unknown_state
nokkaan	004_unknown_state
kanunavar	004_unknown_state
innale	004_unknown_state
aniyan	004_unknown_state
twist	004_unknown_state
cheyyum	004_unknown_state
vanno	004_unknown_state
yudham	004_unknown_state
schoolil	004_unknown_state
nalle	004_unknown_state
ill	004_unknown_state
bengalikal	004_unknown_state
yash	004_not-malayalam
tha	004_not-malayalam
telangana	004_not-malayalam
kannadiga	004_not-malayalam
go	004_not-malayalam
era	004_not-malayalam
dekh	004_not-malayalam
nov	004_not-malayalam
40	004_not-malayalam
name	004_not-malayalam
mammuka	004_not-malayalam
c	004_not-malayalam
seen	004_not-malayalam
hour	004_not-malayalam
young	004_not-malayalam
192k	004_not-malayalam
was	004_not-malayalam
make	004_not-malayalam
2m	004_not-malayalam
200k	004_not-malayalam
yaar	004_not-malayalam
get	004_not-malayalam
yente	004_Positive
umma	004_Positive
screenil	004_Positive
rekshem	004_Positive
prayathilum	004_Positive
prayathil	004_Positive
ponnikkaa	004_Positive
polichadukkum	004_Positive
pinneyum	004_Positive
parayanillaa	004_Positive
parayaanilla	004_Positive
ninga	004_Positive
nighal	004_Positive
namichu	004_Positive
nalloru	004_Positive
laletten	004_Positive
kidukkachi	004_Positive
kattaa	004_Positive
ithaanu	004_Positive
athukum	004_Positive
ashamsakal	004_Positive
aayal	004_Positive
padathinte	004_Positive
enthayalum	004_Positive
theatril	004_Positive
nde	004_Positive
makkalee	004_Positive
lalletan	004_Positive
iniyum	004_Positive
mamankam	004_Positive
face	004_Positive
vann	004_Positive
real	004_Positive
comments	004_Positive
athe	004_Positive
lusifer	004_Positive
pattilla	004_Positive
vaa	004_Positive
charithra	004_Positive
pratheeksha	004_Positive
thonni	004_Positive
vellan	004_Positive
thonunu	004_Positive
inn	004_Positive
eattan	004_Positive
ayirikum	004_Positive
hbd	004_Positive
ullath	004_Positive
manasilayi	004_Positive
tovi	004_Positive
en	004_Positive
parayum	004_Positive
ipo	004_Positive
ye	004_Positive
urappu	004_Positive
divasam	004_Positive
thriller	004_Positive
thanks	004_Positive
proud	004_Positive
industry	004_Positive
epic	004_Positive
at	004_Positive
bakki	004_Positive
tripple	004_Positive
onum	004_Positive
sathyam	004_Positive
kanam	004_Positive
camera	004_Positive
vismayam	004_Positive
robot	004_Positive
pullu	004_Positive
pokunnu	004_Positive
njanum	004_Positive
kili	004_Positive
ithreyum	004_Positive
istam	004_Positive
fansum	004_Positive
entammo	004_Positive
ennal	004_Positive
eid	004_Positive
aanennu	004_Positive
late	004_Positive
ethil	004_Positive
kitti	004_Positive
body	004_Positive
mamukka	004_Positive
long	004_Positive
bst	004_Positive
bday	004_Positive
amazing	004_Positive
thalaivaa	004_Positive
olla	004_Positive
muthanu	004_Positive
live	004_Positive
ithupole	004_Positive
ijathi	004_Positive
ammoo	004_Positive
paranjaal	004_Positive
nnu	004_Positive
mathrame	004_Positive
ila	004_Positive
lalattan	004_Positive
cut	004_Positive
ayalum	004_Positive
appol	004_Positive
aakumennu	004_Positive
namaskaaram	004_Negative
myru	004_Negative
myran	004_Negative
munb	004_Negative
mammunni	004_Negative
koothara	004_Negative
koora	004_Negative
chali	004_Negative
adikkunnavar	004_Negative
7k	004_Negative
marakkar	004_Negative
asooya	004_Negative
oro	004_Negative
ayye	004_Negative
parayunna	004_Negative
daivame	004_Negative
ithilum	004_Negative
flop	004_Negative
3k	004_Negative
mood	004_Negative
thallu	004_Negative
mathiyayirunnu	004_Mixed_feelings
aayirikum	004_Mixed_feelings
aanallo	004_Mixed_feelings
enkilum	004_Mixed_feelings
poley	004_Mixed_feelings
varunath	003_unknown_state
vannar	003_unknown_state
undenkil	003_unknown_state
tube	003_unknown_state
thonunnavar	003_unknown_state
thonnunnavar	003_unknown_state
su	003_unknown_state
stalam	003_unknown_state
shortfilm	003_unknown_state
pwollichu	003_unknown_state
pwolik	003_unknown_state
oppam	003_unknown_state
nokaan	003_unknown_state
nikkunnath	003_unknown_state
munpu	003_unknown_state
manasilayavar	003_unknown_state
mammukkante	003_unknown_state
maathramano	003_unknown_state
lift	003_unknown_state
kooda	003_unknown_state
kandavarkku	003_unknown_state
kaar	003_unknown_state
ishtamayavar	003_unknown_state
inni	003_unknown_state
ibilis	003_unknown_state
ennariyilla	003_unknown_state
edakk	003_unknown_state
coment	003_unknown_state
chey	003_unknown_state
avvo	003_unknown_state
aval	003_unknown_state
ariyatte	003_unknown_state
ara	003_unknown_state
akshay	003_unknown_state
adikkanulla	003_unknown_state
adichee	003_unknown_state
aanoo	003_unknown_state
9m	003_unknown_state
4million	003_unknown_state
462k	003_unknown_state
slr	003_unknown_state
review	003_unknown_state
v	003_unknown_state
that	003_unknown_state
16k	003_unknown_state
sthalam	003_unknown_state
clubil	003_unknown_state
athoru	003_unknown_state
anno	003_unknown_state
athum	003_unknown_state
hype	003_unknown_state
us	003_unknown_state
kanditu	003_unknown_state
december	003_unknown_state
negative	003_unknown_state
rahul	003_unknown_state
10k	003_unknown_state
mamuka	003_unknown_state
vaada	003_unknown_state
urapp	003_unknown_state
suspense	003_unknown_state
sec	003_unknown_state
sample	003_unknown_state
rajavu	003_unknown_state
lyk	003_unknown_state
laalettan	003_unknown_state
indo	003_unknown_state
adikum	003_unknown_state
adikkam	003_unknown_state
150	003_unknown_state
nokki	003_unknown_state
annan	003_unknown_state
anne	003_unknown_state
na	003_unknown_state
enu	003_unknown_state
kandapol	003_unknown_state
director	003_unknown_state
veruthe	003_unknown_state
ninn	003_unknown_state
muzhuvan	003_unknown_state
anenn	003_unknown_state
aakan	003_unknown_state
para	003_unknown_state
kaanu	003_unknown_state
part	003_unknown_state
veera	003_unknown_state
khureshi	003_unknown_state
fast	003_unknown_state
cross	003_unknown_state
54	003_unknown_state
48	003_unknown_state
300k	003_unknown_state
masood	003_unknown_state
18	003_unknown_state
neerali	003_unknown_state
adikkum	003_unknown_state
arjun	003_unknown_state
p	003_unknown_state
videos	003_unknown_state
reddy	003_unknown_state
varunnavar	003_unknown_state
urapullavar	003_unknown_state
sugunan	003_unknown_state
status	003_unknown_state
place	003_unknown_state
perund	003_unknown_state
pere	003_unknown_state
parayunnavar	003_unknown_state
oorma	003_unknown_state
maximum	003_unknown_state
manasil	003_unknown_state
kaanunna	003_unknown_state
govt	003_unknown_state
enthaa	003_unknown_state
common	003_unknown_state
cmnt	003_unknown_state
arelum	003_unknown_state
apol	003_unknown_state
kanunna	003_unknown_state
kanichu	003_unknown_state
kaanum	003_unknown_state
cinemayil	003_unknown_state
cheyyuka	003_unknown_state
athanu	003_unknown_state
aju	003_unknown_state
realistic	003_unknown_state
ormma	003_unknown_state
