id	text	category	newtext	label
ta_sent_1	Yarayellam FDFS ppga ippove ready agitinga	Positive	yarayellam fdfs {XXX} fdfs ppga {XXX} ppga ippove {XXX} ippove ready {XXX} 	1
ta_sent_2	Ennada viswasam mersal sarkar madhri time la likes and views create pannalayae	Positive	ennada viswasam {XXX} viswasam mersal {XXX} mersal sarkar {Mixed_feelings} sarkar madhri {XXX} madhri time {XXX} time la {Positive} la likes {XXX} likes and {Positive} and views {Positive} views create {XXX} 	1
ta_sent_3	yuvan vera level ya .... valuable script. SK in action	Positive	yuvan vera {Positive} vera level {Positive} level ya {Positive} ya valuable {XXX} valuable script {XXX} script sk {XXX} sk in {Positive} 	1
ta_sent_4	70 vayasulayum thanoda rasigargala sandhosapadutha ipdi ulaikuraru ivara poi kayapaduthuranungale echainga ulachu vaalanum	Positive	vayasulayum thanoda {XXX} thanoda rasigargala {XXX} rasigargala sandhosapadutha {XXX} sandhosapadutha ipdi {XXX} ipdi ulaikuraru {XXX} ulaikuraru ivara {XXX} ivara poi {XXX} poi kayapaduthuranungale {XXX} kayapaduthuranungale echainga {XXX} echainga ulachu {XXX} 	1
ta_sent_5	all the best anna...Telugu makkal selvan fans	Positive	all the {Positive} the best {Positive} best annatelugu {XXX} annatelugu makkal {XXX} makkal selvan {Positive} 	1
ta_sent_6	1:17 verithanama iruku nu solravanga like podunga	Positive	verithanama iruku {Positive} iruku nu {unknown_state} nu solravanga {Positive} solravanga like {Positive} 	1
ta_sent_7	mokka ya tha iruku trailer antha level ku perusa onnum illa	Positive	mokka ya {Mixed_feelings} ya tha {XXX} tha iruku {Positive} iruku trailer {Positive} trailer antha {Positive} antha level {XXX} level ku {Positive} ku perusa {XXX} perusa onnum {XXX} 	1
ta_sent_8	Vera level next movie Ida vida bayangaram ha irukunum	Positive	vera level {Positive} level next {Negative} next movie {Positive} movie ida {XXX} ida vida {XXX} vida bayangaram {XXX} bayangaram ha {XXX} 	1
ta_sent_9	Saamy2 hindi dubbed kb la rahe ho	Positive	saamy hindi {XXX} hindi dubbed {unknown_state} dubbed kb {XXX} kb la {XXX} la rahe {XXX} 	1
ta_sent_10	Verithanamana trailer aiyoo Diwali kaithi Diwali🤩🤩	Positive	verithanamana trailer {XXX} trailer aiyoo {XXX} aiyoo diwali {XXX} diwali kaithi {Positive} 	1
ta_sent_11	Shakti maaaaaan. sankarji vazhangum Sakthi man 2.0. . Ondru Hollywood tharathukku meala illa atharku nikaraanatha irukanum.	Positive	shakti maaaaaan {XXX} maaaaaan sankarji {XXX} sankarji vazhangum {XXX} vazhangum sakthi {XXX} sakthi man {Positive} man ondru {XXX} ondru hollywood {XXX} hollywood tharathukku {XXX} tharathukku meala {XXX} meala illa {XXX} illa atharku {XXX} atharku nikaraanatha {XXX} 	1
ta_sent_12	wait and watch ennu neraya neraya neraya Erika Thala mass activity's	Positive	wait and {Positive} and watch {Positive} watch ennu {XXX} ennu neraya {XXX} neraya neraya {Positive} neraya neraya {Positive} neraya erika {XXX} erika thala {XXX} thala mass {Positive} 	1
ta_sent_13	Tamizha Na la mudiyatha thu ethuvume illa...#Sankar sir proof it...2.0v va support pannuvom  Na like pannunga	Positive	tamizha na {XXX} na la {XXX} la mudiyatha {XXX} mudiyatha thu {XXX} thu ethuvume {XXX} ethuvume illasankar {XXX} illasankar sir {XXX} sir proof {XXX} proof itv {XXX} itv va {XXX} va support {XXX} support pannuvom {XXX} pannuvom na {XXX} na like {Positive} 	1
ta_sent_14	Jai... Vijay Sethu pathi Jai.... Chiranjeevaa.... Syeraa... Narasimha Reddy Syeraa.... Vijay pandya	Positive	jai vijay {Positive} vijay sethu {unknown_state} sethu pathi {unknown_state} pathi jai {XXX} jai chiranjeevaa {XXX} chiranjeevaa syeraa {XXX} syeraa narasimha {XXX} narasimha reddy {XXX} reddy syeraa {XXX} syeraa vijay {XXX} 	1
ta_sent_15	Padu mokkai, ean thalayai kooni kondu nikkuthu thalai	Positive	padu mokkai {XXX} mokkai ean {XXX} ean thalayai {XXX} thalayai kooni {XXX} kooni kondu {XXX} kondu nikkuthu {XXX} 	1
ta_sent_16	Kannane kanne 96 Milion views	Positive	kannane kanne {XXX} kanne milion {XXX} 	1
ta_sent_17	Thala epo vum   masss tha	Positive	thala epo {XXX} epo vum {XXX} vum masss {XXX} 	1
ta_sent_18	Oru shotla kooda karu vizhi asayala	Positive	oru shotla {XXX} shotla kooda {XXX} kooda karu {XXX} karu vizhi {XXX} 	1
ta_sent_19	Over nyt la 5 million views ah	Positive	over nyt {XXX} nyt la {XXX} la million {XXX} million views {Positive} 	1
ta_sent_20	1999 super hit movie vaali continuously 2019 blockbuster movie nerkonda paarvai	Positive	super hit {Positive} hit movie {Positive} movie vaali {XXX} vaali continuously {XXX} continuously blockbuster {XXX} blockbuster movie {Positive} movie nerkonda {Positive} 	1
ta_sent_21	Opening dialogue is semma Oru vela double actinga	Positive	opening dialogue {XXX} dialogue is {Positive} is semma {XXX} semma oru {XXX} oru vela {Positive} vela double {XXX} 	1
ta_sent_22	I  am simbu fans like dhanush acting	Positive	i am {Positive} am simbu {XXX} simbu fans {XXX} fans like {Positive} like dhanush {XXX} 	1
ta_sent_23	Thala Vera level.. luv u so much	Positive	thala vera {Positive} vera level {Positive} level luv {Positive} luv u {Positive} u so {Positive} 	1
ta_sent_24	Superb trailer....waiting for tharamana sambavam on pongal	Positive	superb trailerwaiting {XXX} trailerwaiting for {XXX} for tharamana {Negative} tharamana sambavam {Positive} sambavam on {Positive} 	1
ta_sent_25	En bha intha padathula sivakumar ku role iruka..	Positive	en bha {XXX} bha intha {XXX} intha padathula {Positive} padathula sivakumar {XXX} sivakumar ku {XXX} ku role {Mixed_feelings} 	1
ta_sent_26	Oruthar Mela viswasam katradhukaga innoruthara yen assingapaduthuringa	Positive	oruthar mela {Positive} mela viswasam {Positive} viswasam katradhukaga {Positive} katradhukaga innoruthara {Positive} innoruthara yen {Positive} 	1
ta_sent_27	Pongal _ viswasam_ like petta comment	Positive	pongal viswasam {XXX} viswasam like {Positive} like petta {Positive} 	1
ta_sent_28	Morning enthericha odane trailer pakravaga like poduga	Positive	morning enthericha {XXX} enthericha odane {XXX} odane trailer {XXX} trailer pakravaga {XXX} pakravaga like {Positive} 	1
ta_sent_29	Inum na sagurathu kulla intha mathiri yethana kodumaiya paka poranoo therilayee	Positive	inum na {XXX} na sagurathu {XXX} sagurathu kulla {XXX} kulla intha {XXX} intha mathiri {Positive} mathiri yethana {XXX} yethana kodumaiya {XXX} kodumaiya paka {XXX} paka poranoo {XXX} 	1
ta_sent_30	Haiyooo.. hero roll ku indhe munji sariye waradhu.	Positive	haiyooo hero {XXX} hero roll {XXX} roll ku {XXX} ku indhe {XXX} indhe munji {XXX} munji sariye {XXX} 	1
ta_sent_31	Rajani is back with a bangggg	Positive	rajani is {Positive} is back {Positive} back with {Positive} with a {Positive} 	1
ta_sent_32	Mass vjs...he is more mass den ajith vj rajni	Positive	mass vjshe {XXX} vjshe is {XXX} is more {XXX} more mass {XXX} mass den {XXX} den ajith {XXX} ajith vj {XXX} 	1
ta_sent_33	Mela epdi vanthenu mela vanthavan kita thana keka mudiyum	Positive	mela epdi {XXX} epdi vanthenu {XXX} vanthenu mela {XXX} mela vanthavan {XXX} vanthavan kita {XXX} kita thana {XXX} thana keka {XXX} 	1
ta_sent_34	thalaivar na  mass summa athirueilla semma	Positive	thalaivar na {Positive} na mass {Positive} mass summa {XXX} summa athirueilla {XXX} 	1
ta_sent_35	After Iru Mugan Most Awaited Vikram movie	Positive	after iru {XXX} iru mugan {Positive} mugan most {XXX} most awaited {Mixed_feelings} awaited vikram {XXX} 	1
ta_sent_36	Nkp  means nalla kalapum pataiya super thalaaaasaaaaaaaaaaaaaaaaaa	Positive	nkp means {XXX} means nalla {XXX} nalla kalapum {XXX} kalapum pataiya {XXX} pataiya super {XXX} 	1
ta_sent_37	Nice  But pesura dialogue onnum puriyala romba unnipa ketka vendieruku... Music over loaded	Positive	nice but {Mixed_feelings} but pesura {XXX} pesura dialogue {XXX} dialogue onnum {XXX} onnum puriyala {Positive} puriyala romba {XXX} romba unnipa {XXX} unnipa ketka {XXX} ketka vendieruku {XXX} vendieruku music {XXX} music over {XXX} 	1
