id	text	category	newtext	label
ta_sent_1	Yarayellam FDFS ppga ippove ready agitinga	Positive	yarayellam Positive ppga Positive Positive agitinga 	1
ta_sent_2	Ennada viswasam mersal sarkar madhri time la likes and views create pannalayae	Positive	Positive Positive Positive Positive Negative Positive Positive Positive Positive Positive Positive pannalayae 	1
ta_sent_3	yuvan vera level ya .... valuable script. SK in action	Positive	Positive Positive Positive Positive  valuable Positive Positive Positive Positive 	1
ta_sent_4	70 vayasulayum thanoda rasigargala sandhosapadutha ipdi ulaikuraru ivara poi kayapaduthuranungale echainga ulachu vaalanum	Positive	 Positive thanoda rasigargala sandhosapadutha Positive ulaikuraru Positive Positive kayapaduthuranungale echainga ulachu vaalanum 	1
ta_sent_5	all the best anna...Telugu makkal selvan fans	Positive	Positive Positive Positive annatelugu Positive Positive Positive 	1
ta_sent_6	1:17 verithanama iruku nu solravanga like podunga	Positive	 Positive Positive Positive Positive Negative Positive 	1
ta_sent_7	mokka ya tha iruku trailer antha level ku perusa onnum illa	Positive	Negative Positive Positive Positive Positive Positive Positive Positive Positive Positive Positive 	1
ta_sent_8	Vera level next movie Ida vida bayangaram ha irukunum	Positive	Positive Positive Positive Positive Mixed_feelings Positive Positive Positive Positive 	1
ta_sent_9	Saamy2 hindi dubbed kb la rahe ho	not-malayalam/tamil	Positive Positive not-Tamil not-Tamil Positive not-Tamil not-Tamil 	4
ta_sent_10	Verithanamana trailer aiyoo Diwali kaithi Diwali🤩🤩	Positive	Positive Positive Positive Positive Positive Positive 	1
ta_sent_11	Shakti maaaaaan. sankarji vazhangum Sakthi man 2.0. . Ondru Hollywood tharathukku meala illa atharku nikaraanatha irukanum.	Positive	shakti maaaaaan sankarji vazhangum Positive Positive   Mixed_feelings Positive tharathukku Positive Positive atharku nikaraanatha Positive 	1
ta_sent_12	wait and watch ennu neraya neraya neraya Erika Thala mass activity's	Positive	Positive Positive Positive Positive Positive Positive Positive erika 1Positive Mixed_feelings activitys 	1
ta_sent_13	Tamizha Na la mudiyatha thu ethuvume illa...#Sankar sir proof it...2.0v va support pannuvom  Na like pannunga	Positive	tamizha Positive Positive Positive Negative ethuvume illasankar Positive Positive itv Positive Positive Positive  Positive Negative Positive 	1
ta_sent_14	Jai... Vijay Sethu pathi Jai.... Chiranjeevaa.... Syeraa... Narasimha Reddy Syeraa.... Vijay pandya	Positive	Positive Positive Positive Positive Positive chiranjeevaa syeraa Positive Positive syeraa Positive Positive 	1
ta_sent_15	Padu mokkai, ean thalayai kooni kondu nikkuthu thalai	Negative	Negative Negative Positive thalayai kooni Positive Positive Positive 	0
ta_sent_16	Kannane kanne 96 Milion views	Positive	kannane kanne  Positive Positive 	1
ta_sent_17	Thala epo vum   masss tha	Positive	1Positive Positive Positive   masss Positive 	1
ta_sent_18	Oru shotla kooda karu vizhi asayala	Positive	Positive shotla Positive Positive vizhi asayala 	1
ta_sent_19	Over nyt la 5 million views ah	Positive	Positive Positive Positive  Positive Positive Positive 	1
ta_sent_20	1999 super hit movie vaali continuously 2019 blockbuster movie nerkonda paarvai	Positive	 Positive Positive Positive Positive Positive  Positive Positive Positive Positive 	1
ta_sent_21	Opening dialogue is semma Oru vela double actinga	Positive	Positive Positive Positive Positive Positive Positive unknown_state actinga 	1
ta_sent_22	I  am simbu fans like dhanush acting	Positive	Positive  Positive Positive Positive Negative Positive Positive 	1
ta_sent_23	Thala Vera level.. luv u so much	Positive	1Positive Positive Positive Positive Positive Positive Positive 	1
ta_sent_24	Superb trailer....waiting for tharamana sambavam on pongal	Positive	Positive trailerwaiting Positive Positive Positive Positive Positive 	1
ta_sent_25	En bha intha padathula sivakumar ku role iruka..	Positive	Positive Positive Positive Positive Positive Positive Positive Positive 	1
ta_sent_26	Oruthar Mela viswasam katradhukaga innoruthara yen assingapaduthuringa	Positive	Positive Positive Positive Positive Positive Positive assingapaduthuringa 	1
ta_sent_27	Pongal _ viswasam_ like petta comment	Positive	Positive  Positive Negative Positive Positive 	1
ta_sent_28	Morning enthericha odane trailer pakravaga like poduga	Positive	Positive enthericha Positive Positive Positive Negative Positive 	1
ta_sent_29	Inum na sagurathu kulla intha mathiri yethana kodumaiya paka poranoo therilayee	Positive	Positive Positive sagurathu Positive Positive Positive Positive kodumaiya Positive poranoo therilayee 	1
ta_sent_30	Haiyooo.. hero roll ku indhe munji sariye waradhu.	Positive	haiyooo Positive roll Positive Positive Positive sariye waradhu 	1
ta_sent_31	Rajani is back with a bangggg	Positive	Positive Positive Positive Positive Positive bangggg 	1
ta_sent_32	Mass vjs...he is more mass den ajith vj rajni	Positive	Mixed_feelings vjshe Positive Positive Mixed_feelings den Positive Positive Positive 	1
ta_sent_33	Mela epdi vanthenu mela vanthavan kita thana keka mudiyum	Positive	Positive Positive Positive Positive unknown_state Positive Positive Positive Positive 	1
ta_sent_34	thalaivar na  mass summa athirueilla semma	Positive	Positive Positive  Mixed_feelings Positive athirueilla Positive 	1
ta_sent_35	After Iru Mugan Most Awaited Vikram movie	Positive	Positive Positive Positive Mixed_feelings Mixed_feelings Positive Positive 	1
ta_sent_36	Nkp  means nalla kalapum pataiya super thalaaaasaaaaaaaaaaaaaaaaaa	Positive	Positive  Positive Positive kalapum pataiya Positive thalaaaasaaaaaaaaaaaaaaaaaa 	1
