id	text	newtext	label	category
ml_sen_1	Bollywood film Newton inte remake aano?	bollywood film {XXX} film newton {XXX} newton inte {Mixed_feelings} inte remake {XXX} 	1	Positive
ml_sen_2	endukond viewrs koodunnilla ?? ippozhum 2.8m aayitollu	endukond viewrs {XXX} viewrs koodunnilla {XXX} koodunnilla ippozhum {XXX} ippozhum 28m {XXX} 	2	unknown_state
ml_sen_3	Mara paazhu mega mairananil ninnum ethil koodutal pratheeshikaruthu   1980 kalile rajanikanthinu padikkunnu verum chavaru mairan....	mara paazhu {XXX} paazhu mega {XXX} mega mairananil {XXX} mairananil ninnum {XXX} ninnum ethil {XXX} ethil koodutal {XXX} koodutal pratheeshikaruthu {XXX} pratheeshikaruthu 1980 {XXX} 1980 kalile {XXX} kalile rajanikanthinu {XXX} rajanikanthinu padikkunnu {XXX} padikkunnu verum {XXX} verum chavaru {XXX} 	1	Positive
ml_sen_4	Video nay cang xem cang thit	video nay {XXX} nay cang {XXX} cang xem {XXX} xem cang {XXX} 	2	unknown_state
ml_sen_5	Sunny chechiye kaanan vannathu njan maathram aano	sunny chechiye {Positive} chechiye kaanan {unknown_state} kaanan vannathu {XXX} vannathu njan {XXX} njan maathram {unknown_state} 	2	unknown_state
ml_sen_6	Katta ikka fans adi makkale like	katta ikka {Positive} ikka fans {unknown_state} fans adi {unknown_state} adi makkale {unknown_state} 	2	unknown_state
ml_sen_7	Njan antarticail ninnanu malayalam ariyilla trailer adipoli	njan antarticail {XXX} antarticail ninnanu {XXX} ninnanu malayalam {XXX} malayalam ariyilla {XXX} ariyilla trailer {XXX} 	1	Positive
ml_sen_8	Poojappura laalunni fans dislike adichu kuru potichitund	poojappura laalunni {XXX} laalunni fans {XXX} fans dislike {XXX} dislike adichu {Negative} adichu kuru {XXX} 	2	unknown_state
ml_sen_9	Govt model school tvmikka   masss	govt model {Positive} model school {Positive} school tvmikka {XXX} 	1	Positive
ml_sen_10	Dislike adichaa ellaa makkalkum oru nadu viral salute ...... It's Lucifer daaa	dislike adichaa {unknown_state} adichaa ellaa {Negative} ellaa makkalkum {XXX} makkalkum oru {XXX} oru nadu {XXX} nadu viral {Negative} viral salute {XXX} salute its {XXX} its lucifer {XXX} 	0	Negative
ml_sen_11	Adipoli but movie engane indaavuo aavo..	adipoli but {XXX} but movie {Mixed_feelings} movie engane {XXX} engane indaavuo {XXX} 	1	Positive
