text	label	category
trailer late ah parthavanga like podunga	1	Positive
move pathutu vanthu trailer pakurvnga yaru	1	Positive
puthupetai dhanush ah yarellam pathinga	1	Positive
dhanush oda character puthu sa erukay mass ta	1	Positive
vera level ippa pesungada mokka nu thalaivaa	1	Positive
thala mass u1 bgm vera level	1	Positive
ivara pathta death vadi madiri irukku	0	Negative
0 28 90 s kids reference maadila irunthu kudicha shakthiman kaapathvaaru	1	Positive
aiyoo thala mass pannita thala	1	Positive
enpt ku kaathu kadanthathellam oru nimishathula poiruchu	1	Positive
when pandey gets up vandumurugan im speaking no cross speaking sitt downn	0	Negative
remake of malayalam mohanlal movie devadoodhan	1	Positive
tharamaana sirappaana sambavam inimeal ta paaka pora	1	Positive
viswasam trailer paathutu inka vanthavanga like panuga	1	Positive
maran kattu kattitamnue verithanam thalivaa a	1	Positive
ella trailer la last la oru mass dialouge vaichikuringaa paa	1	Positive
eppa saamy thala padathula vera director pera pakurathu evalo periya santhosama iruku	1	Positive
en thalaivan vijaysethubathi kaga matume na padam papan matha entha p illa	1	Positive
kanithan mugamoodi neenga nambalainalum ithan nesam	1	Positive
enakku iru mugan trailer gnabagam than varuthu	1	Positive
are you expecting happy deepavali force dialogue in 2 0 movie	1	Positive
sakthimaan fans like sivakarthikeyen fans comment	1	Positive
rajini and akshay fans hit like	1	Positive
1 hour 1 million likes	1	Positive
raww vana padama iruku all the best	1	Positive
thalaiva full support from kerala mohanlal fans	1	Positive
en da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae	0	Negative
thalaiva ungala screen pakkum pothey ippadii erukinga na nerla partha yappidii erupinga oru murai tharisanam kedaikumaa	1	Positive
rajini ah vida akshay mass ah irukane	1	Positive
thala koda compare panna yarukum thakuthi kidaiyathu mind it	1	Positive
marana mass marana style marna gethu mass trailer rajinified	1	Positive
paruthiveeran karthi back lokesh kangaraj screenplay	1	Positive
diwali annante aniyan ullaltha step back bigil	1	Positive
dialogue pundaiye puriyala otha theatre la nacham sound seri pannungada	1	Positive
poda mokka moonji unna pathale siriputhan varuthu super herovaam adutha mugamoodii	1	Positive
dei kelthu kuthi ajith ivanya yaru nadika sona	1	Positive
yaaru ivanaa indha kosu asoorana dei ennada unga rasana	1	Positive
namma kitte kaadu iruntha eduthukuvanga namma kitte roopa iruntha pudukiku vaanga padippu mattum namma kitte irundhu eduthukave mudiyathu superb lines	1	Positive
ethukkuda ivlo actors hypo thalaivar padamna avar matumtha irukanum	1	Positive
thlaiavaa thalaivaa thaliava thalaivaa thalaivaa	1	Positive
epdi like pottavan eallarum seathupogada	1	Positive
100 true in the age information abundance and mass distractions	1	Positive
supper dhanush anna mass waiting asuran	1	Positive
vera lvl thalaiva u r great	1	Positive
mobile main mera phek dunga iphone x barna aisa problem hoga	3	Mixed_feelings
sala kuch smjh nhi aaya pr mja aaya	4	not-malayalam/tamil
ellam avan sayal movie mathiriya irukku	1	Positive
boss you looking so handsome nd young kekaa	1	Positive
pattaya kelapitey siva awesome	1	Positive
dahaa chitii come back i am waiting get ready to 2 0	1	Positive
boni kapoor sir ini entha update illama ethum release panathinga sir intha chinna pasanga tholla thanga mudiyala	1	Positive
looks thrilling thala get up super as lawyer dai pandey neeya da	1	Positive
neenga enna vena kathukonga aana hollywood padathukku dubbing mattum kathukathinga	1	Positive
