id	text	label	category
ml_sen_1	Bollywood film Newton inte remake aano	3	Mixed_feelings
ml_sen_2	endukond viewrs koodunnilla  ippozhum m aayitollu	2	unknown_state
ml_sen_3	Mara paazhu mega mairananil ninnum ethil koodutal pratheeshikaruthu    kalile rajanikanthinu padikkunnu verum chavaru mairan	0	Negative
ml_sen_4	Video nay cang xem cang thit	2	unknown_state
ml_sen_5	Sunny chechiye kaanan vannathu njan maathram aano	2	unknown_state
ml_sen_6	Katta ikka fans adi makkale like	2	unknown_state
ml_sen_7	Njan antarticail ninnanu malayalam ariyilla trailer adipoli	1	Positive
ml_sen_8	Poojappura laalunni fans dislike adichu kuru potichitund	0	Negative
ml_sen_9	Govt model school tvmikka   masss	2	unknown_state
ml_sen_10	Dislike adichaa ellaa makkalkum oru nadu viral salute  Its Lucifer daaa	0	Negative
ml_sen_11	Adipoli but movie engane indaavuo aavo	3	Mixed_feelings
ml_sen_12	Mass mohanlalim from Tamil nadu madurai	4	not-malayalam/tamil
ml_sen_13	Hope to see a pakka mass entertainer	1	Positive
ml_sen_14	Nta ponnu muthu maniyeeee  lalataaaaaaaaaaa	1	Positive
ml_sen_15	 Millon ayee makkale eattante pazhi paragavar thalayil mundittu trailor kandukanum	1	Positive
ml_sen_16	Oru joshy film touch undo	3	Mixed_feelings
ml_sen_17	Cinema kandathinu shesham trailer kanunna arelum ondo	2	unknown_state
ml_sen_18	Ente ponnu mammoooka mass item veendumbgm aanegil onnum choikandaa porichu	1	Positive
ml_sen_19	Ithu kanditu jayasuryayude idi ormavanthu enk mathramano	1	Positive
ml_sen_20	Maoist alla avnte achn vare namml adich odikkum ikkaaa	1	Positive
ml_sen_21	Malayala cinema record thkarkan varunuu athiradi mass movie abrhaminte santhathikal	1	Positive
ml_sen_22	 k likes  aayallo ithenthu marimayaam lalapikkal ude kali aano	2	unknown_state
ml_sen_23	Lucifer pole oru nalla chitha maayi maaratte   By  lalettan fan	1	Positive
ml_sen_24	Padam flop aakumbo ee comment like cheyyaneaa  ith ivide kidakattea	2	unknown_state
ml_sen_25	Ente prthvirajee kettipidich oru ummma thannaoteee chakkarereeee	1	Positive
ml_sen_26	Adich keri va makkallee ika polikkmm	1	Positive
ml_sen_27	YouTube logic k likes  k dislikes  k views myr	4	not-malayalam/tamil
ml_sen_28	Views ennam nokan vannavar like adichee	2	unknown_state
ml_sen_29	Ella new gen nadan maarum ananjueth saubin ugam 	0	Negative
ml_sen_30	Eattan fanzz koode indninga polikk ikkkaaaa	1	Positive
ml_sen_31	Trailer superrrrr ikka pwolikkum padam oru action thriller blockbuster ayirikkum	1	Positive
ml_sen_32	  k aayii   Bot Bot	1	Positive
ml_sen_33	Onne poyeda mugath puttiyum adich oronne iragiyekum mega star	1	Positive
ml_sen_34	Ith oru onnonnara itemm anello ikaaa	1	Positive
ml_sen_35	Onnum parayanilla ennalum  oru rakshayam illa	1	Positive
ml_sen_36	Ufff vere level ikkaaa ingha pwoli aahn	1	Positive
ml_sen_37	Dislike addikkan matram entha ithinu koyappam ennu mansilavunnilla	0	Negative
ml_sen_38	Arjun reddy yude bgm inte thudakkam pole und	3	Mixed_feelings
ml_sen_39	Lalettante stunt kandirunnupovum aarum Entha oru style Mammootty thapassirunnal polum ettante aduthu ethillaaa	0	Negative
ml_sen_40	Enteh laletta eth trailer aanu uff	1	Positive
ml_sen_41	woow mammopokka  proud of you mollywoods king ikkaa	4	not-malayalam/tamil
ml_sen_42	K views and k likes in  minutes	4	not-malayalam/tamil
ml_sen_43	Ente ponnikkaningalu Oru rekshayum illa polichadukki idikkatta waiting	1	Positive
ml_sen_44	Sajeev pilla enna sadaranakarane aarum marakaruthuchaverinte cinema cheyyumbol chaverayi poya oru manushyan	1	Positive
ml_sen_45	Movie ok aanu    Entertaining movie	3	Mixed_feelings
ml_sen_46	Numma or nummade or nammande palakkad le Katha aanu	3	Mixed_feelings
ml_sen_47	Eth pulimuragan pole undalotrailerinte last sredhiku	3	Mixed_feelings
ml_sen_48	Padam Hit aakum ennu urapullavar Adi	2	unknown_state
ml_sen_49	Ichaayn masss alaaa marana masss anuuuu polwiii	1	Positive
