text	label	category
hoo mammokka police vesham aaha anthas	1	Positive
Oru rekshayum illa...kidilam kannu nananjupoyi	1	Positive
Ikka     waiting.........	1	Positive
Raju Ettante Oro Shorttum Ijathi ppwli	1	Positive
Ettan fansil netti poya aarenkilum undo?    #maduraraja#waiting #	1	Positive
Waiting to see mammukaas undaa 🤣	4	not-malayalam/tamil
Last aa chadi adi.... Uff.        Frm an ettan fan	1	Positive
1 day achu 5 million views kooda varla	2	unknown_state
heavy mass	1	Positive
I a m a katta mammookka fan	1	Positive
Pulimurgan 2 adyam oralde thallu. Pinne same kattil ottakkulla adi.	2	unknown_state
Nte ponno oru raksha Illa Ennaaa Trailer	1	Positive
Mammookka fans like adi. Love u ikka	1	Positive
Dislike adikan keri like adichath njaan mathramaano?	2	unknown_state
Enada Oru English comment kuda kanom	2	unknown_state
Oh mass o mass laletta katta waiting....Bgm	1	Positive
Ith powlichu vaariyitte pooku....	1	Positive
7.3k dislike adichavanmaarod onne parayanollu......  OMKV	0	Negative
Malayali friends lalettan padam epdi irukku	1	Positive
June 16 Keralakara ilakki marikkum ikka	1	Positive
Ithu  Verum unda alla Machinegun  Nirachum undayulla machinegun	2	unknown_state
Padam kandu kollaam pakshe chila idangalil lag und ennu eniku thoni	1	Positive
Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa	1	Positive
vaada a otta vili athu mathi .athu maathram mathi	1	Positive
Mammooka fan - kannadiga from Dubai	4	not-malayalam/tamil
Babynet  oppam Shane nigam venaayirunnu Enna ithinakaal adipoliyaayirikum Shanente fans adi like	2	unknown_state
#mamangam uff ijjathi trailer oru rakshem illa poli	1	Positive
Nalla polippan school life kanam katta waiting for you Mammukka	1	Positive
Trailer kande oru pidium illatha aralum	1	Positive
Feeling sad am studying in punjab ivde release aakuvo	4	not-malayalam/tamil
Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??	1	Positive
Tamilnadu thala fans sarpakka movie hit panna valthukal	4	not-malayalam/tamil
Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree	2	unknown_state
Telugu padam pole aavaathirunnal mathiyaayirunnu.fight okke ethandu athupole thanne	1	Positive
Thirunavayile arenkilum undo  Trailer like cheyan marakanda	2	unknown_state
INI aarum UNDA enna peril kaliyaakkilla.oru adaar trailer	1	Positive
movie kandathinu shesham onum kudi trailer kanan vanaver like	2	unknown_state
Mammoka fans and laletan fans Katta waiting	1	Positive
Eee eid ikka ang edutthu ennu paranjekk	1	Positive
Ahaa hahaha ha.... Nte ponnikkka mutheeee	1	Positive
Fan show set...arokke fan showkk pokunnu und	1	Positive
Pwoolich....adhya 3 manikkoor il...30k kku mukalil views....	2	unknown_state
Ithin dislike addikunavar lokka tholvikallayirkkum	0	Negative
Visit on link Vov yar so sad made me crying so sad omng  very sad must watch Osmmmosmmmmmmmmmmmmmmmmmmmmm	4	not-malayalam/tamil
Ini nammalarenkilum chathale sarkar sradhikku ennano... ith porikkum	1	Positive
FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	1	Positive
Feel good movie 2019 le best movie aavum ithu urappu	1	Positive
1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	0	Negative
Mohan Lal Katy’s fans onnn like Chevu Chet daaaa Lal attan	4	not-malayalam/tamil
2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	4	not-malayalam/tamil
Eante ponnooo romanjam vannu poeonnum parayanilla	1	Positive
Eth oru onnonnara padam aavum enn urappullavar like adi	1	Positive
Surajettan kunjunni mash ayi abhinayichal powlikku.m	1	Positive
Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	1	Positive
Raaza..u Do	2	unknown_state
Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	1	Positive
Lalettan fans full support und makkaleee......	1	Positive
Keralathinu purathu ninnulla anyaphashakar adi like	2	unknown_state
All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..	2	unknown_state
Adhikam hype venda	1	Positive
Ithu kidukkum	1	Positive
am a lalettan fan... but lalettane arum pokendaa... director prithviannuu	1	Positive
4.3k dislikes what a bullshit man's	4	not-malayalam/tamil
Padam 1 st day kaanum athu urappu.	1	Positive
masss effect	1	Positive
من متى أعرفك اصلا حتى انساك	4	not-malayalam/tamil
Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power	1	Positive
Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	1	Positive
Costumes Irshad khan Cherukunnuijj Poli mutheeee	1	Positive
Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	1	Positive
aaa last bhakam marana mass #mammookka	1	Positive
Happy  Birthday  Mammookka	4	not-malayalam/tamil
mammokka thug life mashup	1	Positive
Big B 2 pole und	1	Positive
LALETTAAA MUTHEE POLICHU	1	Positive
Ee pennu evide poyaalum ithaanallo avastha..	2	unknown_state
Edhu kondu prethiraj neruthiyal Kollam	1	Positive
Ithipo kadha muzhuvan undalo ithilu ? ?	2	unknown_state
Mammotiyude look divasam kudunthorum kodi varikayannallo	1	Positive
Last black dress sredhichavar ivide like	2	unknown_state
Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	1	Positive
Padam pottum ennu urapulavarku evide like adikam	2	unknown_state
malayala sinimakkoru puthiya charithram pirakkatte !	1	Positive
Koora padam	1	Positive
Superb trailer I have ever seen	4	not-malayalam/tamil
3 millon views 208 k likes	2	unknown_state
Ennalum ente Idivettu suguna ninne ithilu kandillalo	1	Positive
Which trailer you like more.  1. #Mamangam  2. #Panipat	1	Positive
1.33 - 1.40   mammuka rock's 🤘...	4	not-malayalam/tamil
Oru  mikacha thriling movie aavum	1	Positive
Undakku shesham mammookayude adutha natural movie	1	Positive
Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	1	Positive
Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	1	Positive
apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??	2	unknown_state
Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	1	Positive
YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa	2	unknown_state
K G F   DUBLE	1	Positive
Trailer I'll tannaayy full story uondu	1	Positive
Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	1	Positive
Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam	1	Positive
Rajayude andhya kurbana chollan avan varunuu... #LUCIFER	2	unknown_state
Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu	1	Positive
Annum ennum ennum ikka mass 🤩🥰	1	Positive
vere level trailer and bgm gopi sunder musical	1	Positive
Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha	1	Positive
PASSING OF THE CROWN 'TRAILER' 1 | KGF Malayalam | Ft. Mohanlal | Nivin Pauly	4	not-malayalam/tamil
E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..	1	Positive
Jelli kettinte trailer bgm pole ind	1	Positive
50 pathu pravasham kandavar adi like	2	unknown_state
E traileril ntha chekutan undo	2	unknown_state
any one from nov 2 2k19	4	not-malayalam/tamil
Adh suraj aanenn sound kett maathram kandpidichavar adi like..	2	unknown_state
17 k view 119 k like 12 k dislike... ???	2	unknown_state
mallu students canada arelum? like here	2	unknown_state
kalakki Kalakki. Onnum parayan illa	1	Positive
Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.	1	Positive
L U C I F E R	1	Positive
Lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke	2	unknown_state
Vere level of making nd lalettan was awesome	1	Positive
raja solathu tha Saiva ....saivathu mattumtha Dolla..#ikka fans	4	not-malayalam/tamil
M  A  M  A  N  G  A  M	1	Positive
Looks like 2017 malyalam  movie  Y And  english movie Buried	4	not-malayalam/tamil
Next Week china povan irikkana njan ithu kandeche njan povathullu	1	Positive
Dislike adichavarodu pucham maathram.. Lal fansine uddeshichu maathramanennu thettidarikallu ketto🤣	2	unknown_state
peter hein nte stunt ella cinema il um ore pattern aanallo	1	Positive
Thuvanathumbikalile jayakrishnane orma vannavar like adi	2	unknown_state
Tovino ishtam Tovino fans like adi ആൻഡ് സപ്പോർട്ട് me	2	unknown_state
Ohoo mamooka powlikum ee jati tralier making kiduwee	1	Positive
Kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii	2	unknown_state
Chicking ile freezer il poyi nokkiya mathi aale kittum	2	unknown_state
Onnum parayanilla. Vere leval movie ayirikkum	1	Positive
Cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam	2	unknown_state
Lufier trailer kandu odiyan kandavar undo	2	unknown_state
Raju ettaaaa ningal Vera level	1	Positive
Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ	1	Positive
Late aayi vannalum latest aayi varuvenne	1	Positive
Woow woww wow	1	Positive
Lokal poyi Madhura raja teaser kanada	1	Positive
Oru marana mass chitramaavatte laleeta lucifer	1	Positive
Kuru potti olikknna 1k poojappura fans🤣🤣🤣	0	Negative
adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	1	Positive
17 K views 102 K like  10K dislike	2	unknown_state
Mohanlal prithvi fans like adik lucifer bamber hit akum	2	unknown_state
Jayasurya mass after long time.podi pooram	1	Positive
Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu	1	Positive
Ettante lucifer 100 cr club kadakumm enn parayunnavar like adicheee	2	unknown_state
Laalettan fans only hit likes here	2	unknown_state
Kure per dislike adich kuru pottikkunnund	0	Negative
Dislike adechath alla punnara makkalum anta veral നമസ്കാരം	0	Negative
Jagapathi Babu  a Telugu fan here.	4	not-malayalam/tamil
2n part or kuch related kahani nxt hota acha lagta fans ko	4	not-malayalam/tamil
Fight dialoge bgm oru rakshayum illa	1	Positive
3 million   ettanum pillerum	2	unknown_state
Ithu rajayude 3 strong Alla ettande Lucifer	1	Positive
E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu	1	Positive
Samyuktha vendayirunnu. :(  Aishu pwoli ann	1	Positive
Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	0	Negative
Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	0	Negative
JAI LUCIFER JAI LALETTAN JAI PRITHWI	4	not-malayalam/tamil
Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck	1	Positive
MAMMOKKENTE ( BIG B2=BILAL )veranam ennu agraham ullavar undoo	2	unknown_state
Bro support koduthilenkilum dislike adikkathirunoode .	2	unknown_state
Aaa kochu edhaaa real fighter kannukalile theepori kidu	1	Positive
You use bots for likes and views	4	not-malayalam/tamil
swandam recordukal thanne thiruthunaa  nadan pulimuruganekal odane daivame	2	unknown_state
Suraj ettan fans fans like ivide	2	unknown_state
Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa	1	Positive
3 * 2 strong............... Rajuvettaaaaa u nailed it	1	Positive
E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰	2	unknown_state
ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	0	Negative
Ee trailer kandapo KGF ormavanavar  adikk...	2	unknown_state
Ith oru onnonnara item aayrikkum	1	Positive
Njan mammoty fan Ann pakshe enikk ishtapettu	1	Positive
Pirates of carbien aarum kanditilananu mone ninte vicharam	1	Positive
Ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum	2	unknown_state
Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli	1	Positive
Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	1	Positive
japan ne kali aakan maathram nammal aayitilla suraj ettaa :/	2	unknown_state
im a katta lalettan fan....but ithu hit aaakanam..heavy	1	Positive
Katta vishayam oru rekshem illa etta fdfs	1	Positive
Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...	0	Negative
Oru dubbing padathinte trailer pole.  kidu	1	Positive
Myarakam ikka  Hollywood direction and visuals	1	Positive
Mommookka mass entry....        By a lalettan bhakthan....	1	Positive
Ini kando... Adiude Ideude Vedi pooram......🧨🧨	1	Positive
Innu trailer'um	1	Positive
Aa kannukal mathram mathi a character depth mansilkan laletta.....	1	Positive
Trailer Oru rakshyum illa adi poli jayettan takarkkum	1	Positive
Dislike adichavarokke  ith okke kanditt engane dislike adikkaan saadhikunnu uvve	0	Negative
Waiting  from  die hard rajuvetan fan..	4	not-malayalam/tamil
Ee Padam Kolamavukayaanengil it will be because of Peter hein	1	Positive
Movide peru kandu dislike adikaan vannatha	1	Positive
Avalude name veykkunille avar lead cheyyunna film alle..	1	Positive
6000 suscribe ulladhil itt 22k suscribe414kview 91k like aaaakiyya ikka mass	2	unknown_state
Kidu bgm for ikka kidu movie super	1	Positive
MAMMOOKKAAA....  NIGHAL MUTHAANU....Nighal kola maassalla...  kolaveri maasaanu.....	1	Positive
Ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru	2	unknown_state
Deleep atta padam orappu maga hit	1	Positive
ee padam 8 nilayil podannamennju prarthikunnju	0	Negative
Ikka i lv uuuuu big screen kandolan waitinggggg	1	Positive
Ee padam hit aakum ennu orappullavar enik oru 100 like taa	1	Positive
trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu	1	Positive
Ayye poraaa.... lalettan nu role ille??	2	unknown_state
Vineethangil adu supero super chodikanundo allea vineetheaaa	1	Positive
Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka	1	Positive
Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu	1	Positive
Enta ponno ikka kalakum van trailer	1	Positive
Entammo ikka powli powli ...heavy item	1	Positive
Ee trailer vachaaanooo luciferinodu muttaan varunnath	1	Positive
Odiyan 2D Animated trailer	1	Positive
16 k views  55 k likes	2	unknown_state
11million aayo enn nokaan varunnavarundo ??	2	unknown_state
Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan	1	Positive
Inn ni8 full repeat adich kanan ponavar ivide like adicholu	2	unknown_state
Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie	1	Positive
Edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath....?	1	Positive
Just 1min      etra per page il und	2	unknown_state
Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super	1	Positive
Moood poyi mood poyi aa sabune kandappol mood poyi	1	Positive
Dislike adicha pullanmarude mugathulla adiyavatte oro likum	0	Negative
Ekka @ madhura Raja and lalettan @ Lucifer... 2 padam iragan pokuvane...oru tight competition prethishikkunnu	1	Positive
@02:19 Ee scene theatril polikkum .... Lalettta :):>3	1	Positive
njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm	1	Positive
Vivek oberoi best villan powli 🤩🤩🤩	1	Positive
E trailer 5 il kooduthal kandavar like	2	unknown_state
Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	1	Positive
Trailer oru rakshayum illa 3 vattam kandu  Not the point aarudeyum fan alla	1	Positive
Ambooo Roman ezunettu  EPIC loading	1	Positive
Powlii powlii...last dialogue comedy anenkilu kidlm tyming	1	Positive
Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam	1	Positive
Trailernu katta wait cheythirikkunna ethra aalundu ivide	2	unknown_state
Kashttamund!! Paavam chinnane enthina konne???Rakshapeduthi koodarunno?Minister Rajayil chinnane pratheekshikkunnu...  Chinnaraja fans adi like!!!	2	unknown_state
Happy birthday  day my mammookka	4	not-malayalam/tamil
oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club  adichaaaaaach	1	Positive
Priya kuttoos nte teaser aayinankilu eppaze million views aavateenum	2	unknown_state
Aa last nadatham kanditt best actor orma vanna arelum undo..?	2	unknown_state
Ente ichayooo....  Athre parayunnulluuu.... Ennu manasil karuthiyavar hit like here.....	2	unknown_state
Police ill minimum  hight elle  Aju oke police	0	Negative
500k enn paranjitt 410k ullollo real time views 🤣	2	unknown_state
Lalettane prathheeshich ithuvazhi vannavar like	2	unknown_state
Orika kanda veendum veendum kanan thonnum..	1	Positive
Stars nu pakaram Nalla cinema'ye support cheyyunavar adi like..	2	unknown_state
Haavu samadaanamaayi  Editor mahesh narayanan	2	unknown_state
Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn	0	Negative
EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu	1	Positive
Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!	1	Positive
ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha	1	Positive
Rajuvetta ningal mass annu.  Ammoo enna oru feel.  Laletta	1	Positive
Uff mwonr kinnam kaachya item	1	Positive
Appo nayakan mammukka alley.....e piller aaaana	1	Positive
madhura rajayum  usharavatte ...from a lalettan fan .	1	Positive
CHANDU vine orma vannavar ivde common	2	unknown_state
Sambavam kollam but	1	Positive
Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam	1	Positive
Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......	1	Positive
Please Upload moha mundiri video song	2	unknown_state
Ee padam kand chirich pandaram adangi	1	Positive
Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla	1	Positive
Trailer kandapol bahubali orthavar like adi	2	unknown_state
Hvy iteam	1	Positive
212k views	2	unknown_state
Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*	1	Positive
Fight vere level teateril paper kure keerendi varum ichayoooo	1	Positive
Trailer vere level Anu makkale🤩🤩Mammookka uyir...   mamangam_november 21	1	Positive
Ethilum valiya masSs eni ella  Padam 100 crore loading	1	Positive
Cinima 2 aam vattam kanan paisa illanitt trailer veendum kanunnadh njn maathramano?	1	Positive
E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best	1	Positive
mammookkayude scenes pause cheytu kandavar arokke undu	2	unknown_state
mammootty kazhinju vere oru nadan malayalathil illa karanam etavum last mammootty Anu	1	Positive
Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....	1	Positive
Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi	1	Positive
Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting	1	Positive
69 years old Megastar  Nammude Mammookkaa oreee poli mammookkaa	1	Positive
Releasinte aan thanne pokum ennu   Urappullavar adi like	2	unknown_state
lalettan marana mass..intha movie bayangara hit adikkum...love from tamilnadu	1	Positive
Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu	1	Positive
Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu	0	Negative
Vineeth sreenivasan presents	1	Positive
Unni Mukundan fans like here	2	unknown_state
Ikkaye kanan vendi mathram fdfs urapichavar like	2	unknown_state
Ente ikkkaaaa kola mass YouTube hang aanu makkale	1	Positive
Gopi Sundar and ikka fan from malappuram	1	Positive
Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....	1	Positive
yeshu das saarinte oru song ithil pratheekshikkaavo	1	Positive
1 st day kazinju theatre bakki undayal mathiyayirunnu...lalettan	1	Positive
#HAPPY BIRTHDAY   |  SULTHAN OF MALAYALAM CINEMA | #MAMMOOKKA	4	not-malayalam/tamil
8hr 2 million viewers one name laletan ...n prithvy	2	unknown_state
Lucifer pola nalla oru padam avatte	1	Positive
10M adikkum ennullavar aadhyam like onn adiche	2	unknown_state
Negative aayi onmilla   eattn polikm	1	Positive
Njan mathram ano padam kand വന്നു veendum trailer edth noki veendum padam kanan poyathangane പോയവര്‍ അടി like	2	unknown_state
2013 drishyam 75 cr 2016 pulimurugan 150 cr 2019 Lucifer any guess???	2	unknown_state
Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike	1	Positive
Nice	1	Positive
Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..	1	Positive
Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all	0	Negative
Ambooo  Ettan kidu acting  Raju Ettan poli making	1	Positive
onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩	1	Positive
Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing	1	Positive
Ejjati item ettan pwolikkum all the best raju etta	1	Positive
Ohhh my god... endhokke looks aanu...  onnum parayaanillaa... katta waiting lalettaa...	1	Positive
Madhuraraja teaser ethaanenkil trailer enthaayirikkum April kazhinjaal theater ok kaanumo aavo	2	unknown_state
After 1M views & 150K likes	2	unknown_state
