vera level	623_Positive
marana mass	210_Positive
neraya neraya	207_Positive
super star	194_Positive
hit like	167_Positive
like podunga	155_Positive
thala thala	148_Positive
like here	124_Positive
i am	114_Positive
love you	112_Positive
fans like	111_Positive
mass mass	110_Positive
thala fans	107_Positive
i love	105_Positive
fans hit	097_Positive
oru like	095_Positive
vera vera	095_Positive
love u	093_Positive
waiting for	090_Positive
thala mass	084_Positive
like pannunga	082_Positive
marana waiting	077_Positive
rajini sir	075_Positive
oruthar mela	070_Positive
semma mass	065_Positive
mass thala	065_Positive
thala vera	059_Positive
am waiting	055_Positive
ajith sir	054_Positive
i m	054_Positive
vera leval	053_Positive
no 1	052_Positive
super super	051_Positive
sema mass	051_Positive
vijay sethupathi	050_Positive
level thala	050_Positive
2 0	049_Positive
mass ah	049_Positive
pakka mass	049_Positive
pink movie	047_Positive
bgm vera	047_Positive
lama lagi	045_not-Tamil
kola mass	044_Positive
mass vera	044_Positive
last dialogue	043_Positive
dhanush anna	043_Positive
thala ajith	043_Positive
vikram sir	041_Positive
level la	040_Positive
million views	040_Positive
ajith kumar	040_Positive
kena tunggu	039_not-Tamil
1m likes	039_Positive
rajni sir	038_Positive
yuvan bgm	038_Positive
lagi untuk	037_not-Tamil
asinga paduthuringa	037_Positive
fan but	037_Positive
is back	037_Positive
vera lvl	036_Positive
mass trailer	036_Positive
vijay fan	035_Positive
neriya neriya	035_Positive
nerkonda paarvai	034_Positive
shankar sir	034_Positive
semma semma	034_Positive
trailer ah	033_Positive
enna panna	033_Positive
lebih lama	032_not-Tamil
mela viswasam	032_Positive
sk anna	032_Positive
makkal selvan	032_Positive
the best	032_Positive
thalapathy fans	032_Positive
petta paraak	032_Positive
naraya naraya	032_Positive
anna fans	032_Positive
neraiya neraiya	032_Positive
chiyaan vikram	032_Positive
v v	032_Negative
tunggu lebih	031_not-Tamil
like ah	031_Positive
thala da	031_Positive
vere level	030_Positive
i like	030_Positive
u thala	030_Positive
akshay kumar	029_Positive
looks like	029_Positive
yen asinga	029_Positive
tahu saya	028_not-Tamil
mattum like	028_Positive
thalapathy fan	028_Positive
movie la	028_Positive
enga thala	028_Positive
sema sema	027_Positive
national award	027_Positive
ah iruku	027_Positive
enna da	026_Positive
all the	026_Positive
from kerala	026_Positive
vara level	026_Positive
panna porom	026_Positive
u1 bgm	026_Positive
untuk tahu	025_not-Tamil
intha trailer	025_Positive
thala pola	025_Positive
trending la	024_Positive
thala fan	024_Positive
million likes	024_Positive
vaa thala	024_Positive
rangaraj pandey	024_Positive
tharamana sambavam	024_Positive
va thala	024_Positive
level trailer	023_Positive
sweet sapda	023_Positive
petta parak	023_Positive
u r	023_Positive
mass nu	023_Positive
you are	023_Positive
trending no	023_Positive
thala bloods	023_Positive
thalaivaa thalaivaa	022_Positive
tamil cinema	022_Positive
wow wow	022_Positive
intha padam	022_Positive
like panunga	022_Positive
1 million	022_Positive
sapda porom	022_Positive
you thala	022_Positive
pola varuma	022_Positive
you kena	021_not-Tamil
yuvan shankar	021_Positive
block buster	021_Positive
mela neenga	021_Positive
always mass	021_Positive
k likes	021_Positive
trailer vera	021_Positive
big fan	021_Positive
from karnataka	021_Positive
like for	021_Positive
t a	021_Positive
mass thalaiva	021_Positive
super thala	021_Positive
shankar raja	021_Positive
niraya niraya	021_Positive
trailer la	020_Positive
it s	020_Positive
nu soldravanga	020_Positive
kadaram kondan	020_Positive
ultimate star	020_Positive
a a	020_Positive
u kena	019_not-Tamil
hindi me	019_not-Tamil
a t	019_Positive
like pannuga	019_Positive
like it	019_Positive
thala ya	019_Positive
like a	019_Positive
2 o	019_Positive
action king	019_Positive
die hard	019_Positive
remake of	019_Positive
fan of	019_Positive
luv u	019_Positive
thala always	019_Positive
nee vaa	019_Positive
mass da	018_Positive
what a	018_Positive
vijay fans	018_Positive
ajith fans	018_Positive
like button	018_Positive
star rajini	018_Positive
vetri pera	018_Positive
like podunge	018_Positive
fans from	018_Positive
thala yoda	018_Positive
level mass	018_Positive
thala i	018_Positive
porom sweet	018_Positive
king of	018_Positive
nkp trailer	018_Positive
thala yuvan	018_Positive
thalapathy 64	017_Positive
so much	017_Positive
sir and	017_Positive
sir fans	017_Positive
gv prakash	017_Positive
thalaiva thalaiva	016_Positive
sirapana tharamana	016_Positive
comment pannunga	016_Positive
chiyan vikram	016_Positive
fan from	016_Positive
look like	016_Positive
solravanga like	016_Positive
make it	016_Positive
ku mela	016_Positive
thala nee	016_Positive
pink remake	016_Positive
petta pongal	016_Positive
sri lanka	016_Positive
90 s	016_Positive
1m like	016_Positive
padam vetri	016_Positive
pongal ku	016_Positive
thala love	016_Positive
sankar sir	016_Positive
padippa mattum	015_Positive
namma kitta	015_Positive
many many	015_Positive
super hero	015_Positive
like podu	015_Positive
like poduga	015_Positive
love from	015_Positive
movie ku	015_Positive
dialogue delivery	015_Positive
nu solravanga	015_Positive
best wishes	015_Positive
trailer pakka	015_Positive
mass dialogue	015_Positive
sema trailer	015_Positive
for movie	015_Positive
1 trending	015_Positive
thala u1	015_Positive
thala naa	015_Positive
sema thala	015_Positive
da thala	015_Positive
viswasam trailer	014_unknown_state
tunggu lama	014_not-Tamil
thala veriyan	014_Positive
like me	014_Positive
asuran trailer	014_Positive
anna mass	014_Positive
kollama vida	014_Positive
en asinga	014_Positive
level thalaiva	014_Positive
1 55	014_Positive
thala na	014_Positive
music vera	014_Positive
indha trailer	014_Positive
mass i	014_Positive
come on	014_Positive
vaa thalaivaa	014_Positive
star super	014_Positive
sir vera	014_Positive
of pink	014_Positive
